SystemMeasureIndex,SystemRowIndex,Left,Top,Height,Width,Image
2,1,153,59,66,85,Wagner_WWV086B_164.png
3,1,239,59,66,72,Wagner_WWV086B_164.png
4,1,311,59,66,82,Wagner_WWV086B_164.png
5,1,395,59,66,91,Wagner_WWV086B_164.png
6,1,487,59,66,82,Wagner_WWV086B_164.png
7,2,48,167,63,103,Wagner_WWV086B_164.png
8,2,152,167,63,77,Wagner_WWV086B_164.png
9,2,231,167,63,79,Wagner_WWV086B_164.png
10,2,311,167,63,83,Wagner_WWV086B_164.png
11,2,395,167,63,81,Wagner_WWV086B_164.png
12,2,477,167,63,91,Wagner_WWV086B_164.png
13,3,49,294,67,103,Wagner_WWV086B_164.png
14,3,153,294,67,77,Wagner_WWV086B_164.png
15,3,231,294,67,77,Wagner_WWV086B_164.png
16,3,310,294,67,87,Wagner_WWV086B_164.png
17,3,397,294,67,83,Wagner_WWV086B_164.png
18,3,482,294,67,87,Wagner_WWV086B_164.png
19,4,49,426,66,107,Wagner_WWV086B_164.png
20,4,157,426,66,79,Wagner_WWV086B_164.png
21,4,237,426,66,88,Wagner_WWV086B_164.png
22,4,326,426,66,80,Wagner_WWV086B_164.png
23,4,407,426,66,79,Wagner_WWV086B_164.png
24,4,487,426,66,82,Wagner_WWV086B_164.png
25,5,49,556,65,103,Wagner_WWV086B_164.png
26,5,153,556,65,81,Wagner_WWV086B_164.png
27,5,235,556,65,81,Wagner_WWV086B_164.png
28,5,317,556,65,83,Wagner_WWV086B_164.png
29,5,401,556,65,84,Wagner_WWV086B_164.png
30,5,486,556,65,83,Wagner_WWV086B_164.png
31,6,50,680,57,83,Wagner_WWV086B_164.png
32,6,134,680,57,61,Wagner_WWV086B_164.png
33,6,196,680,57,72,Wagner_WWV086B_164.png
34,6,269,680,57,80,Wagner_WWV086B_164.png
35,6,350,680,57,72,Wagner_WWV086B_164.png
36,6,423,680,57,71,Wagner_WWV086B_164.png
37,6,495,680,57,74,Wagner_WWV086B_164.png
1,1,45,70,65,109,Wagner_WWV086B_165.png
2,1,155,70,65,88,Wagner_WWV086B_165.png
3,1,245,70,65,77,Wagner_WWV086B_165.png
4,1,324,70,65,77,Wagner_WWV086B_165.png
5,1,402,70,65,89,Wagner_WWV086B_165.png
6,1,492,70,65,76,Wagner_WWV086B_165.png
7,2,47,194,66,97,Wagner_WWV086B_165.png
8,2,145,194,66,82,Wagner_WWV086B_165.png
9,2,228,194,66,43,Wagner_WWV086B_165.png
10,2,272,194,66,68,Wagner_WWV086B_165.png
11,2,341,194,66,67,Wagner_WWV086B_165.png
12,2,409,194,66,159,Wagner_WWV086B_165.png
13,3,47,320,63,91,Wagner_WWV086B_165.png
14,3,140,320,63,117,Wagner_WWV086B_165.png
15,3,258,320,63,71,Wagner_WWV086B_165.png
16,3,330,320,63,116,Wagner_WWV086B_165.png
17,3,447,320,63,121,Wagner_WWV086B_165.png
18,4,48,433,81,186,Wagner_WWV086B_165.png
19,4,235,433,81,166,Wagner_WWV086B_165.png
20,4,402,433,81,166,Wagner_WWV086B_165.png
21,5,48,572,63,193,Wagner_WWV086B_165.png
22,5,243,572,63,155,Wagner_WWV086B_165.png
23,5,399,572,63,170,Wagner_WWV086B_165.png
24,6,49,686,66,193,Wagner_WWV086B_165.png
25,6,243,686,66,157,Wagner_WWV086B_165.png
26,6,401,686,66,167,Wagner_WWV086B_165.png
1,1,47,82,71,158,Wagner_WWV086B_166.png
2,1,206,82,71,119,Wagner_WWV086B_166.png
3,1,327,82,71,121,Wagner_WWV086B_166.png
4,1,449,82,71,116,Wagner_WWV086B_166.png
5,2,47,225,70,147,Wagner_WWV086B_166.png
6,2,195,225,70,116,Wagner_WWV086B_166.png
7,2,311,225,70,108,Wagner_WWV086B_166.png
8,2,421,225,70,145,Wagner_WWV086B_166.png
9,3,45,380,64,155,Wagner_WWV086B_166.png
10,3,202,380,64,141,Wagner_WWV086B_166.png
11,3,344,380,64,135,Wagner_WWV086B_166.png
12,3,479,380,64,84,Wagner_WWV086B_166.png
13,4,45,529,67,88,Wagner_WWV086B_166.png
14,4,135,529,67,75,Wagner_WWV086B_166.png
15,4,211,529,67,81,Wagner_WWV086B_166.png
16,4,293,529,67,81,Wagner_WWV086B_166.png
17,4,375,529,67,80,Wagner_WWV086B_166.png
18,4,456,529,67,55,Wagner_WWV086B_166.png
19,4,512,529,66,51,Wagner_WWV086B_166.png
20,5,45,671,70,84,Wagner_WWV086B_166.png
21,5,130,671,70,69,Wagner_WWV086B_166.png
22,5,200,671,70,81,Wagner_WWV086B_166.png
23,5,282,671,70,88,Wagner_WWV086B_166.png
24,5,371,671,70,88,Wagner_WWV086B_166.png
25,5,460,671,70,90,Wagner_WWV086B_166.png
1,1,38,96,70,195,Wagner_WWV086B_167.png
2,1,234,96,70,162,Wagner_WWV086B_167.png
3,1,397,96,70,162,Wagner_WWV086B_167.png
4,2,38,230,74,183,Wagner_WWV086B_167.png
5,2,224,230,74,111,Wagner_WWV086B_167.png
6,2,336,230,74,117,Wagner_WWV086B_167.png
7,2,453,230,74,105,Wagner_WWV086B_167.png
8,3,41,368,72,128,Wagner_WWV086B_167.png
9,3,169,368,72,127,Wagner_WWV086B_167.png
10,3,297,368,72,133,Wagner_WWV086B_167.png
11,3,430,367,71,132,Wagner_WWV086B_167.png
12,4,42,517,66,190,Wagner_WWV086B_167.png
13,4,233,517,66,160,Wagner_WWV086B_167.png
14,4,394,517,66,167,Wagner_WWV086B_167.png
15,5,43,661,66,186,Wagner_WWV086B_167.png
16,5,230,661,66,165,Wagner_WWV086B_167.png
17,5,396,661,66,166,Wagner_WWV086B_167.png
1,1,53,75,70,171,Wagner_WWV086B_168.png
2,1,225,75,70,155,Wagner_WWV086B_168.png
3,1,380,75,70,91,Wagner_WWV086B_168.png
4,1,474,75,70,99,Wagner_WWV086B_168.png
5,2,54,206,66,128,Wagner_WWV086B_168.png
6,2,183,206,66,130,Wagner_WWV086B_168.png
7,2,314,206,66,132,Wagner_WWV086B_168.png
8,2,447,206,66,127,Wagner_WWV086B_168.png
9,3,52,316,67,161,Wagner_WWV086B_168.png
10,3,215,316,67,176,Wagner_WWV086B_168.png
11,3,392,316,67,182,Wagner_WWV086B_168.png
12,4,53,431,65,182,Wagner_WWV086B_168.png
13,4,237,431,65,84,Wagner_WWV086B_168.png
14,4,322,431,65,128,Wagner_WWV086B_168.png
15,4,451,431,65,123,Wagner_WWV086B_168.png
16,5,51,546,67,120,Wagner_WWV086B_168.png
17,5,173,546,67,73,Wagner_WWV086B_168.png
18,5,247,546,67,89,Wagner_WWV086B_168.png
19,5,337,546,67,112,Wagner_WWV086B_168.png
20,5,450,546,67,123,Wagner_WWV086B_168.png
21,6,48,675,67,129,Wagner_WWV086B_168.png
22,6,178,675,67,98,Wagner_WWV086B_168.png
23,6,277,675,67,93,Wagner_WWV086B_168.png
24,6,371,675,67,100,Wagner_WWV086B_168.png
25,6,472,675,67,100,Wagner_WWV086B_168.png
1,1,41,81,65,117,Wagner_WWV086B_169.png
2,1,159,81,65,102,Wagner_WWV086B_169.png
3,1,262,81,65,100,Wagner_WWV086B_169.png
4,1,363,81,65,98,Wagner_WWV086B_169.png
5,1,462,81,65,97,Wagner_WWV086B_169.png
6,2,41,202,66,108,Wagner_WWV086B_169.png
7,2,150,202,66,87,Wagner_WWV086B_169.png
8,2,238,202,66,86,Wagner_WWV086B_169.png
9,2,324,202,66,87,Wagner_WWV086B_169.png
10,2,413,202,66,146,Wagner_WWV086B_169.png
11,3,42,328,71,125,Wagner_WWV086B_169.png
12,3,168,328,71,116,Wagner_WWV086B_169.png
13,3,285,328,71,83,Wagner_WWV086B_169.png
14,3,369,328,71,105,Wagner_WWV086B_169.png
15,3,475,328,71,85,Wagner_WWV086B_169.png
16,4,38,456,64,126,Wagner_WWV086B_169.png
17,4,166,456,64,91,Wagner_WWV086B_169.png
18,4,258,456,64,109,Wagner_WWV086B_169.png
19,4,367,456,64,95,Wagner_WWV086B_169.png
20,4,464,456,64,96,Wagner_WWV086B_169.png
21,5,38,578,63,115,Wagner_WWV086B_169.png
22,5,155,578,63,141,Wagner_WWV086B_169.png
23,5,297,578,63,74,Wagner_WWV086B_169.png
24,5,372,578,63,105,Wagner_WWV086B_169.png
25,5,478,578,63,81,Wagner_WWV086B_169.png
26,6,38,694,62,112,Wagner_WWV086B_169.png
27,6,151,694,62,103,Wagner_WWV086B_169.png
28,6,254,694,62,73,Wagner_WWV086B_169.png
29,6,329,694,62,102,Wagner_WWV086B_169.png
30,6,432,694,62,52,Wagner_WWV086B_169.png
31,6,486,694,62,73,Wagner_WWV086B_169.png
1,1,49,73,69,130,Wagner_WWV086B_170.png
2,1,180,73,69,70,Wagner_WWV086B_170.png
3,1,251,73,69,56,Wagner_WWV086B_170.png
4,1,308,73,69,50,Wagner_WWV086B_170.png
5,1,359,73,69,42,Wagner_WWV086B_170.png
6,1,402,73,69,66,Wagner_WWV086B_170.png
7,1,469,73,69,100,Wagner_WWV086B_170.png
8,2,50,191,69,116,Wagner_WWV086B_170.png
9,2,167,191,69,77,Wagner_WWV086B_170.png
10,2,246,191,69,66,Wagner_WWV086B_170.png
11,2,313,191,69,77,Wagner_WWV086B_170.png
12,2,391,191,69,83,Wagner_WWV086B_170.png
13,2,475,191,69,94,Wagner_WWV086B_170.png
14,3,50,308,71,84,Wagner_WWV086B_170.png
15,3,135,308,71,66,Wagner_WWV086B_170.png
16,3,202,308,71,87,Wagner_WWV086B_170.png
17,3,290,308,71,100,Wagner_WWV086B_170.png
18,3,391,308,71,79,Wagner_WWV086B_170.png
19,3,471,308,71,98,Wagner_WWV086B_170.png
20,4,49,431,68,138,Wagner_WWV086B_170.png
21,4,188,431,68,91,Wagner_WWV086B_170.png
22,4,279,430,68,98,Wagner_WWV086B_170.png
23,4,379,431,68,109,Wagner_WWV086B_170.png
24,4,489,431,68,79,Wagner_WWV086B_170.png
25,5,50,548,68,130,Wagner_WWV086B_170.png
26,5,181,548,68,102,Wagner_WWV086B_170.png
27,5,284,548,68,126,Wagner_WWV086B_170.png
28,5,410,548,68,59,Wagner_WWV086B_170.png
29,5,470,548,68,97,Wagner_WWV086B_170.png
30,6,50,670,71,133,Wagner_WWV086B_170.png
31,6,184,670,71,97,Wagner_WWV086B_170.png
32,6,282,670,71,97,Wagner_WWV086B_170.png
33,6,381,670,71,97,Wagner_WWV086B_170.png
34,6,479,670,71,89,Wagner_WWV086B_170.png
1,1,38,78,59,98,Wagner_WWV086B_171.png
2,1,137,78,59,55,Wagner_WWV086B_171.png
3,1,193,78,59,63,Wagner_WWV086B_171.png
4,1,257,78,59,57,Wagner_WWV086B_171.png
5,1,315,78,59,76,Wagner_WWV086B_171.png
6,1,392,78,59,83,Wagner_WWV086B_171.png
7,1,476,78,59,79,Wagner_WWV086B_171.png
8,2,39,213,56,119,Wagner_WWV086B_171.png
9,2,160,213,56,73,Wagner_WWV086B_171.png
10,2,233,213,56,70,Wagner_WWV086B_171.png
11,2,304,213,56,51,Wagner_WWV086B_171.png
12,2,356,213,56,70,Wagner_WWV086B_171.png
13,2,427,213,56,70,Wagner_WWV086B_171.png
14,2,499,213,56,59,Wagner_WWV086B_171.png
15,3,36,332,61,91,Wagner_WWV086B_171.png
16,3,129,332,61,69,Wagner_WWV086B_171.png
17,3,199,332,61,51,Wagner_WWV086B_171.png
18,3,251,332,61,63,Wagner_WWV086B_171.png
19,3,316,332,61,54,Wagner_WWV086B_171.png
20,3,371,332,61,119,Wagner_WWV086B_171.png
21,4,491,331,61,67,Wagner_WWV086B_171.png
22,5,39,453,63,113,Wagner_WWV086B_171.png
23,5,153,453,63,90,Wagner_WWV086B_171.png
24,5,244,453,63,90,Wagner_WWV086B_171.png
25,5,335,453,63,71,Wagner_WWV086B_171.png
26,5,407,453,63,71,Wagner_WWV086B_171.png
27,5,480,453,63,76,Wagner_WWV086B_171.png
28,6,37,564,63,106,Wagner_WWV086B_171.png
29,6,145,564,63,101,Wagner_WWV086B_171.png
30,6,247,564,63,108,Wagner_WWV086B_171.png
31,6,357,564,63,95,Wagner_WWV086B_171.png
32,6,452,564,63,104,Wagner_WWV086B_171.png
33,7,36,679,66,126,Wagner_WWV086B_171.png
34,7,163,679,66,92,Wagner_WWV086B_171.png
35,7,257,679,66,94,Wagner_WWV086B_171.png
36,7,352,679,66,104,Wagner_WWV086B_171.png
37,7,457,679,66,98,Wagner_WWV086B_171.png
1,1,45,66,70,126,Wagner_WWV086B_172.png
2,1,173,66,70,99,Wagner_WWV086B_172.png
3,1,273,66,70,93,Wagner_WWV086B_172.png
4,1,367,66,70,93,Wagner_WWV086B_172.png
5,1,461,66,70,103,Wagner_WWV086B_172.png
6,2,47,194,71,180,Wagner_WWV086B_172.png
7,2,228,194,71,119,Wagner_WWV086B_172.png
8,2,348,194,71,97,Wagner_WWV086B_172.png
9,2,446,194,71,119,Wagner_WWV086B_172.png
10,3,48,315,71,174,Wagner_WWV086B_172.png
11,3,223,315,71,119,Wagner_WWV086B_172.png
12,3,343,315,71,102,Wagner_WWV086B_172.png
13,3,446,315,71,119,Wagner_WWV086B_172.png
14,4,49,434,71,164,Wagner_WWV086B_172.png
15,4,214,434,71,127,Wagner_WWV086B_172.png
16,4,342,434,71,98,Wagner_WWV086B_172.png
17,4,441,434,71,126,Wagner_WWV086B_172.png
18,5,49,554,71,192,Wagner_WWV086B_172.png
19,5,242,554,71,85,Wagner_WWV086B_172.png
20,5,328,554,71,74,Wagner_WWV086B_172.png
21,5,403,554,71,84,Wagner_WWV086B_172.png
22,5,488,554,71,79,Wagner_WWV086B_172.png
23,6,50,669,70,81,Wagner_WWV086B_172.png
24,6,132,669,70,52,Wagner_WWV086B_172.png
25,6,186,669,70,62,Wagner_WWV086B_172.png
26,6,249,669,70,64,Wagner_WWV086B_172.png
27,6,314,669,70,72,Wagner_WWV086B_172.png
28,6,387,669,70,67,Wagner_WWV086B_172.png
29,6,455,669,70,52,Wagner_WWV086B_172.png
30,6,509,669,70,59,Wagner_WWV086B_172.png
1,1,45,64,69,193,Wagner_WWV086B_173.png
2,1,239,64,69,57,Wagner_WWV086B_173.png
3,1,297,64,69,102,Wagner_WWV086B_173.png
4,1,400,64,69,164,Wagner_WWV086B_173.png
5,2,44,195,65,119,Wagner_WWV086B_173.png
6,2,164,195,65,52,Wagner_WWV086B_173.png
7,2,217,195,65,77,Wagner_WWV086B_173.png
8,2,295,195,65,77,Wagner_WWV086B_173.png
9,2,374,195,65,86,Wagner_WWV086B_173.png
10,2,461,195,65,102,Wagner_WWV086B_173.png
11,3,43,318,72,191,Wagner_WWV086B_173.png
12,3,235,318,72,167,Wagner_WWV086B_173.png
13,3,403,318,72,159,Wagner_WWV086B_173.png
14,4,42,431,71,138,Wagner_WWV086B_173.png
15,4,181,431,71,69,Wagner_WWV086B_173.png
16,4,251,431,71,75,Wagner_WWV086B_173.png
17,4,327,431,71,74,Wagner_WWV086B_173.png
18,4,402,431,71,69,Wagner_WWV086B_173.png
19,4,472,431,71,89,Wagner_WWV086B_173.png
20,5,40,549,70,128,Wagner_WWV086B_173.png
21,5,168,549,70,97,Wagner_WWV086B_173.png
22,5,267,549,70,97,Wagner_WWV086B_173.png
23,5,365,549,70,97,Wagner_WWV086B_173.png
24,5,463,549,70,97,Wagner_WWV086B_173.png
25,6,38,667,68,129,Wagner_WWV086B_173.png
26,6,168,667,68,97,Wagner_WWV086B_173.png
27,6,267,667,68,107,Wagner_WWV086B_173.png
28,6,375,667,68,94,Wagner_WWV086B_173.png
29,6,470,667,68,88,Wagner_WWV086B_173.png
1,1,49,77,70,113,Wagner_WWV086B_174.png
2,1,163,77,70,71,Wagner_WWV086B_174.png
3,1,235,77,70,81,Wagner_WWV086B_174.png
4,1,317,77,70,81,Wagner_WWV086B_174.png
5,1,399,77,70,90,Wagner_WWV086B_174.png
6,1,490,77,70,82,Wagner_WWV086B_174.png
7,2,50,193,69,135,Wagner_WWV086B_174.png
8,2,186,193,69,94,Wagner_WWV086B_174.png
9,2,281,193,69,98,Wagner_WWV086B_174.png
10,2,380,193,69,99,Wagner_WWV086B_174.png
11,2,479,193,69,91,Wagner_WWV086B_174.png
12,3,51,310,68,126,Wagner_WWV086B_174.png
13,3,178,310,68,80,Wagner_WWV086B_174.png
14,3,259,310,68,87,Wagner_WWV086B_174.png
15,3,347,310,68,85,Wagner_WWV086B_174.png
16,3,433,310,68,140,Wagner_WWV086B_174.png
17,4,50,421,67,118,Wagner_WWV086B_174.png
18,4,168,421,67,64,Wagner_WWV086B_174.png
19,4,234,421,67,134,Wagner_WWV086B_174.png
20,4,369,421,67,58,Wagner_WWV086B_174.png
21,4,428,421,67,65,Wagner_WWV086B_174.png
22,4,494,421,67,79,Wagner_WWV086B_174.png
23,5,51,551,65,105,Wagner_WWV086B_174.png
24,5,158,551,65,69,Wagner_WWV086B_174.png
25,5,228,551,65,82,Wagner_WWV086B_174.png
26,5,311,551,65,75,Wagner_WWV086B_174.png
27,5,387,551,65,79,Wagner_WWV086B_174.png
28,5,468,551,65,104,Wagner_WWV086B_174.png
29,6,51,686,68,134,Wagner_WWV086B_174.png
30,6,186,686,68,122,Wagner_WWV086B_174.png
31,6,309,686,68,125,Wagner_WWV086B_174.png
32,6,435,686,68,138,Wagner_WWV086B_174.png
1,1,41,74,71,180,Wagner_WWV086B_175.png
2,1,222,74,71,155,Wagner_WWV086B_175.png
3,1,378,74,71,157,Wagner_WWV086B_175.png
4,2,41,196,71,185,Wagner_WWV086B_175.png
5,2,226,196,71,165,Wagner_WWV086B_175.png
6,2,393,196,71,168,Wagner_WWV086B_175.png
7,3,40,311,69,188,Wagner_WWV086B_175.png
8,3,229,311,69,166,Wagner_WWV086B_175.png
9,3,396,311,69,166,Wagner_WWV086B_175.png
10,4,40,424,68,185,Wagner_WWV086B_175.png
11,4,226,424,68,166,Wagner_WWV086B_175.png
12,4,393,424,68,167,Wagner_WWV086B_175.png
13,5,38,537,70,174,Wagner_WWV086B_175.png
14,5,214,537,70,150,Wagner_WWV086B_175.png
15,5,365,537,70,69,Wagner_WWV086B_175.png
16,5,435,537,70,125,Wagner_WWV086B_175.png
17,6,38,675,69,130,Wagner_WWV086B_175.png
18,6,170,675,69,110,Wagner_WWV086B_175.png
19,6,281,675,69,117,Wagner_WWV086B_175.png
20,6,399,675,69,161,Wagner_WWV086B_175.png
1,1,45,95,66,180,Wagner_WWV086B_176.png
2,1,226,95,66,125,Wagner_WWV086B_176.png
3,1,353,95,66,101,Wagner_WWV086B_176.png
4,1,455,95,66,105,Wagner_WWV086B_176.png
5,2,47,213,63,126,Wagner_WWV086B_176.png
6,2,174,213,63,90,Wagner_WWV086B_176.png
7,2,265,213,63,88,Wagner_WWV086B_176.png
8,2,354,213,63,91,Wagner_WWV086B_176.png
9,2,446,213,63,115,Wagner_WWV086B_176.png
10,3,48,331,65,186,Wagner_WWV086B_176.png
11,3,235,331,65,165,Wagner_WWV086B_176.png
12,3,401,331,65,160,Wagner_WWV086B_176.png
13,4,49,451,60,191,Wagner_WWV086B_176.png
14,4,241,451,60,155,Wagner_WWV086B_176.png
15,4,396,451,61,167,Wagner_WWV086B_176.png
16,5,51,567,61,174,Wagner_WWV086B_176.png
17,5,226,567,61,159,Wagner_WWV086B_176.png
18,5,385,567,61,179,Wagner_WWV086B_176.png
19,6,54,684,64,180,Wagner_WWV086B_176.png
20,6,236,684,64,163,Wagner_WWV086B_176.png
21,6,398,684,64,167,Wagner_WWV086B_176.png
1,1,44,81,65,144,Wagner_WWV086B_177.png
2,1,189,81,65,148,Wagner_WWV086B_177.png
3,1,337,81,65,70,Wagner_WWV086B_177.png
4,1,409,81,65,118,Wagner_WWV086B_177.png
5,2,43,195,66,207,Wagner_WWV086B_177.png
6,2,251,195,66,148,Wagner_WWV086B_177.png
7,2,400,195,66,59,Wagner_WWV086B_177.png
8,2,460,195,66,96,Wagner_WWV086B_177.png
9,3,42,309,68,206,Wagner_WWV086B_177.png
10,3,249,309,68,152,Wagner_WWV086B_177.png
11,3,402,309,68,153,Wagner_WWV086B_177.png
12,4,42,425,65,191,Wagner_WWV086B_177.png
13,4,234,425,65,145,Wagner_WWV086B_177.png
14,4,380,425,65,175,Wagner_WWV086B_177.png
15,5,41,546,61,204,Wagner_WWV086B_177.png
16,5,246,546,61,142,Wagner_WWV086B_177.png
17,5,389,546,61,83,Wagner_WWV086B_177.png
18,5,473,546,61,80,Wagner_WWV086B_177.png
19,6,41,672,61,116,Wagner_WWV086B_177.png
20,6,158,672,61,84,Wagner_WWV086B_177.png
21,6,243,672,61,81,Wagner_WWV086B_177.png
22,6,324,672,61,77,Wagner_WWV086B_177.png
23,6,404,672,61,80,Wagner_WWV086B_177.png
24,6,485,672,61,67,Wagner_WWV086B_177.png
1,1,56,78,66,172,Wagner_WWV086B_178.png
2,1,229,78,66,133,Wagner_WWV086B_178.png
3,1,363,78,66,91,Wagner_WWV086B_178.png
4,1,456,78,66,113,Wagner_WWV086B_178.png
5,2,57,202,66,135,Wagner_WWV086B_178.png
6,2,193,202,66,89,Wagner_WWV086B_178.png
7,2,283,202,66,89,Wagner_WWV086B_178.png
8,2,375,202,66,86,Wagner_WWV086B_178.png
9,2,463,202,66,105,Wagner_WWV086B_178.png
10,3,57,324,67,226,Wagner_WWV086B_178.png
11,3,285,324,67,105,Wagner_WWV086B_178.png
12,3,391,324,67,100,Wagner_WWV086B_178.png
13,3,492,324,67,77,Wagner_WWV086B_178.png
14,4,57,444,66,128,Wagner_WWV086B_178.png
15,4,186,444,66,65,Wagner_WWV086B_178.png
16,4,252,444,66,75,Wagner_WWV086B_178.png
17,4,328,444,66,68,Wagner_WWV086B_178.png
18,4,397,444,66,97,Wagner_WWV086B_178.png
19,4,495,444,66,74,Wagner_WWV086B_178.png
20,5,58,561,64,141,Wagner_WWV086B_178.png
21,5,200,561,64,94,Wagner_WWV086B_178.png
22,5,295,561,64,100,Wagner_WWV086B_178.png
23,5,396,561,64,86,Wagner_WWV086B_178.png
24,5,483,561,64,86,Wagner_WWV086B_178.png
25,6,58,674,64,107,Wagner_WWV086B_178.png
26,6,166,674,64,77,Wagner_WWV086B_178.png
27,6,245,674,64,84,Wagner_WWV086B_178.png
28,6,330,674,64,77,Wagner_WWV086B_178.png
29,6,409,674,64,59,Wagner_WWV086B_178.png
30,6,472,674,64,96,Wagner_WWV086B_178.png
1,1,44,74,66,142,Wagner_WWV086B_179.png
2,1,187,74,66,69,Wagner_WWV086B_179.png
3,1,257,74,66,94,Wagner_WWV086B_179.png
4,1,352,74,66,87,Wagner_WWV086B_179.png
5,1,440,74,66,98,Wagner_WWV086B_179.png
6,2,44,199,71,229,Wagner_WWV086B_179.png
7,2,274,199,71,149,Wagner_WWV086B_179.png
8,2,423,199,71,133,Wagner_WWV086B_179.png
9,3,45,321,67,210,Wagner_WWV086B_179.png
10,3,256,321,67,154,Wagner_WWV086B_179.png
11,3,410,321,67,146,Wagner_WWV086B_179.png
12,4,45,439,62,190,Wagner_WWV086B_179.png
13,4,236,439,62,165,Wagner_WWV086B_179.png
14,4,402,439,62,155,Wagner_WWV086B_179.png
15,5,45,555,67,187,Wagner_WWV086B_179.png
16,5,234,555,67,150,Wagner_WWV086B_179.png
17,5,385,555,67,172,Wagner_WWV086B_179.png
18,6,48,672,68,172,Wagner_WWV086B_179.png
19,6,222,672,68,109,Wagner_WWV086B_179.png
20,6,332,672,68,109,Wagner_WWV086B_179.png
21,6,442,672,68,116,Wagner_WWV086B_179.png
1,1,44,77,69,146,Wagner_WWV086B_180.png
2,1,191,77,69,175,Wagner_WWV086B_180.png
3,1,367,77,69,191,Wagner_WWV086B_180.png
4,2,44,201,70,204,Wagner_WWV086B_180.png
5,2,249,201,70,157,Wagner_WWV086B_180.png
6,2,407,201,70,152,Wagner_WWV086B_180.png
7,3,45,321,68,203,Wagner_WWV086B_180.png
8,3,249,321,68,157,Wagner_WWV086B_180.png
9,3,407,321,68,152,Wagner_WWV086B_180.png
10,4,45,434,70,193,Wagner_WWV086B_180.png
11,4,239,434,70,154,Wagner_WWV086B_180.png
12,4,395,434,70,165,Wagner_WWV086B_180.png
13,5,45,554,67,192,Wagner_WWV086B_180.png
14,5,239,554,67,155,Wagner_WWV086B_180.png
15,5,395,554,67,165,Wagner_WWV086B_180.png
16,6,47,672,69,182,Wagner_WWV086B_180.png
17,6,230,672,69,172,Wagner_WWV086B_180.png
18,6,403,672,69,157,Wagner_WWV086B_180.png
1,1,44,82,75,189,Wagner_WWV086B_181.png
2,1,234,82,75,164,Wagner_WWV086B_181.png
3,1,399,82,75,155,Wagner_WWV086B_181.png
4,2,43,220,78,180,Wagner_WWV086B_181.png
5,2,224,220,78,147,Wagner_WWV086B_181.png
6,2,372,220,78,183,Wagner_WWV086B_181.png
7,3,42,354,83,183,Wagner_WWV086B_181.png
8,3,226,354,83,137,Wagner_WWV086B_181.png
9,3,365,354,83,154,Wagner_WWV086B_181.png
10,4,42,525,75,114,Wagner_WWV086B_181.png
11,4,157,525,75,64,Wagner_WWV086B_181.png
12,4,222,525,75,65,Wagner_WWV086B_181.png
13,4,288,525,75,70,Wagner_WWV086B_181.png
14,4,359,525,75,70,Wagner_WWV086B_181.png
15,4,430,525,75,50,Wagner_WWV086B_181.png
16,4,481,525,75,73,Wagner_WWV086B_181.png
17,5,42,659,80,83,Wagner_WWV086B_181.png
18,5,126,659,80,32,Wagner_WWV086B_181.png
19,5,159,659,80,47,Wagner_WWV086B_181.png
20,5,207,659,80,62,Wagner_WWV086B_181.png
21,5,270,659,80,49,Wagner_WWV086B_181.png
22,5,320,659,80,63,Wagner_WWV086B_181.png
23,5,384,659,80,50,Wagner_WWV086B_181.png
24,5,435,659,80,59,Wagner_WWV086B_181.png
25,5,495,659,80,58,Wagner_WWV086B_181.png
1,1,55,82,73,96,Wagner_WWV086B_182.png
2,1,152,82,73,45,Wagner_WWV086B_182.png
3,1,198,82,73,73,Wagner_WWV086B_182.png
4,1,273,82,73,48,Wagner_WWV086B_182.png
5,1,322,82,73,62,Wagner_WWV086B_182.png
6,1,385,82,73,41,Wagner_WWV086B_182.png
7,1,427,82,73,49,Wagner_WWV086B_182.png
8,1,477,82,73,40,Wagner_WWV086B_182.png
9,1,518,82,73,49,Wagner_WWV086B_182.png
10,2,54,203,66,77,Wagner_WWV086B_182.png
11,2,133,203,66,50,Wagner_WWV086B_182.png
12,2,184,203,66,74,Wagner_WWV086B_182.png
13,2,260,203,66,52,Wagner_WWV086B_182.png
14,2,313,203,66,67,Wagner_WWV086B_182.png
15,2,381,203,66,44,Wagner_WWV086B_182.png
16,2,426,203,66,44,Wagner_WWV086B_182.png
17,2,471,203,66,53,Wagner_WWV086B_182.png
18,2,526,203,66,42,Wagner_WWV086B_182.png
19,3,56,320,65,83,Wagner_WWV086B_182.png
20,3,140,320,65,70,Wagner_WWV086B_182.png
21,3,210,320,65,50,Wagner_WWV086B_182.png
22,3,262,320,65,54,Wagner_WWV086B_182.png
23,3,317,320,65,46,Wagner_WWV086B_182.png
24,3,364,320,65,107,Wagner_WWV086B_182.png
25,3,472,320,65,95,Wagner_WWV086B_182.png
26,4,54,438,67,147,Wagner_WWV086B_182.png
27,4,202,438,67,122,Wagner_WWV086B_182.png
28,4,324,438,67,123,Wagner_WWV086B_182.png
29,4,449,438,67,117,Wagner_WWV086B_182.png
30,5,54,559,67,149,Wagner_WWV086B_182.png
31,5,204,559,67,45,Wagner_WWV086B_182.png
32,5,250,559,67,54,Wagner_WWV086B_182.png
33,5,305,559,67,65,Wagner_WWV086B_182.png
34,5,371,559,67,50,Wagner_WWV086B_182.png
35,5,422,559,67,69,Wagner_WWV086B_182.png
36,5,492,559,67,73,Wagner_WWV086B_182.png
