mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_line	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
154	152	605	609	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	2940		articStaccatoBelow												
154	152	606	610	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	2941		articStaccatoBelow												
154	152	607	611	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	2942		articStaccatoBelow												
154	152	605	609	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	2943		articStaccatoAbove												
154	152	606	610	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	2944		articStaccatoAbove												
154	152	607	611	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	2945		articStaccatoAbove												
154	152	605	609	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	2946		articStaccatoBelow												
154	152	606	610	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	2947		articStaccatoAbove												
154	152	607	611	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	2948		articStaccatoBelow												
155	153	612	616	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2949		articStaccatoAbove												
155	153	609	613	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	2950		articStaccatoBelow												
155	153	610	614	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	2951		articStaccatoBelow												
155	153	611	615	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	2952		articStaccatoBelow												
155	153	609	613	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	2953		articStaccatoAbove												
155	153	610	614	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	2954		articStaccatoAbove												
155	153	611	615	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	2955		articStaccatoAbove												
155	153	609	613	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	2956		articStaccatoAbove												
155	153	610	614	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	2957		articStaccatoBelow												
155	153	611	615	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	2958		articStaccatoAbove												
156	154	616	620	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2959		articStaccatoAbove												
156	154	613	617	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	2960		articStaccatoBelow												
156	154	614	618	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	2961		articStaccatoBelow												
156	154	615	619	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	2962		articStaccatoBelow												
156	154	613	617	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	2963		articStaccatoBelow												
156	154	614	618	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	2964		articStaccatoAbove												
156	154	615	619	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	2965		articStaccatoAbove												
156	154	613	617	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	2966		articStaccatoBelow												
156	154	614	618	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	2967		articStaccatoAbove												
156	154	615	619	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	2968		articStaccatoBelow												
157	155	618	622	0.0		1/4	1/4	Dynamic	4/4	1	1	0						ff													
157	155	618	622	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	2969		articStaccatoAbove												
157	155	620	624	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2970		articStaccatoAbove												
157	155	617	621	0.0		0	0	Dynamic	4/4	2	1	0						ff													
157	155	617	621	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	2971		articStaccatoBelow												
157	155	619	623	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	2972		articStaccatoAbove												
157	155	617	621	0.0		0	0	Dynamic	4/4	3	1	0						ff													
157	155	617	621	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	2973		articStaccatoAbove												
157	155	619	623	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	2974		articStaccatoBelow												
157	155	617	621	0.0		0	0	Dynamic	4/4	4	1	0						ff													
157	155	617	621	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	2975		articStaccatoBelow												
157	155	619	623	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	2976		articStaccatoBelow												
158	156	622	626	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	2977		articStaccatoAbove												
158	156	624	628	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2978		articStaccatoAbove												
158	156	621	625	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	2979		articStaccatoAbove												
158	156	623	627	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	2980		articStaccatoAbove												
158	156	621	625	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	2981		articStaccatoAbove												
158	156	623	627	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	2982		articStaccatoAbove												
158	156	621	625	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	2983		articStaccatoBelow												
158	156	623	627	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	2984		articStaccatoBelow												
159	157	625	629	0.0		0	0	Spanner	4/4	1	1	0																1			
159	157	625	629	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	2985		articStaccatoAbove									1			
159	157	626	630	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	2986											1			
159	157	628	632	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2987											1			
159	157	625	629	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	2988		articStaccatoAbove												
159	157	625	629	1.0		0	0	Chord	4/4	3	1	1/4			1/4	1	2989		articStaccatoAbove												
159	157	625	629	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	2990		articStaccatoBelow												
160	158	629	633	0.0		0	0	Dynamic	4/4	1	1	0						p													
160	158	629	633	0.0		0	0	Spanner	4/4	1	1	0																			
160	158	629	633	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	2991								346						
160	158	1259/2	1267/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	2992														
160	158	630	634	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	2993								347						
160	158	632	636	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2994														
160	158	629	633	0.0		0	0	Dynamic	4/4	3	1	0						p													
160	158	629	633	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	2995								348						
160	158	1259/2	1267/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	2996								348						
160	158	630	634	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	2997								348						
160	158	1261/2	1269/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	2998														
160	158	631	635	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	2999								349						
160	158	1263/2	1271/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3000								349						
160	158	632	636	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3001								349						
160	158	1265/2	1273/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3002														
160	158	629	633	0.0		0	0	Dynamic	4/4	4	1	0						p													
160	158	629	633	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	3003														
160	158	631	635	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	3004														
161	159	633	637	0.0		0	0	Chord	4/4	1	1	0	acciaccatura		1/16	1	3005														
161	159	633	637	0.0		0	0	Chord	4/4	1	1	0	acciaccatura		1/16	1	3006														
161	159	633	637	0.0		0	0	Chord	4/4	1	1	0	acciaccatura		1/16	1	3007														
161	159	633	637	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	3008								350						
161	159	635	639	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	3009														
161	159	636	640	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	3010														
161	159	1267/2	1275/2	0.0		1/8	1/8	Dynamic	4/4	2	1	0						p													
161	159	1267/2	1275/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	3011		articStaccatoAbove												
161	159	634	638	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	3012		articStaccatoAbove												
161	159	1269/2	1277/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	3013		articStaccatoAbove												
161	159	635	639	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	3014								351						
161	159	1271/2	1279/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	3015														
161	159	636	640	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	3016		articStaccatoAbove												
161	159	1273/2	1281/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	3017		articStaccatoAbove												
161	159	633	637	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3018								352						
161	159	1267/2	1275/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3019								352						
161	159	634	638	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	3020								352						
161	159	1269/2	1277/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	3021														
161	159	635	639	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	3022								353						
161	159	1271/2	1279/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3023								353						
161	159	636	640	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3024								353						
161	159	1273/2	1281/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3025														
161	159	633	637	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	3026														
162	160	637	641	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	3027								354						
162	160	1275/2	1283/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	3028														
162	160	638	642	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	3029								355						
162	160	640	644	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	3030														
162	160	637	641	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	3031														
162	160	637	641	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3032								356						
162	160	1275/2	1283/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3033								356						
162	160	638	642	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	3034								356						
162	160	1277/2	1285/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	3035														
162	160	639	643	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	3036								357						
162	160	1279/2	1287/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3037								357						
162	160	640	644	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3038								357						
162	160	1281/2	1289/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3039														
162	160	637	641	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	3040														
162	160	639	643	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	3041														
163	161	641	645	0.0		0	0	Chord	4/4	1	1	0	acciaccatura		1/16	1	3042														
163	161	641	645	0.0		0	0	Chord	4/4	1	1	0	acciaccatura		1/16	1	3043														
163	161	641	645	0.0		0	0	Chord	4/4	1	1	0	acciaccatura		1/16	1	3044														
163	161	641	645	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	3045								358						
163	161	643	647	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	3046														
163	161	644	648	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	3047														
163	161	1283/2	1291/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	3048		articStaccatoAbove												
163	161	642	646	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	3049		articStaccatoAbove												
163	161	1285/2	1293/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	3050		articStaccatoAbove												
163	161	643	647	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	3051								359						
163	161	1287/2	1295/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	3052								359						
163	161	644	648	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	3053								359						
163	161	1289/2	1297/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	3054														
163	161	641	645	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3055								360						
163	161	1283/2	1291/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3056								360						
163	161	642	646	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	3057								360						
163	161	1285/2	1293/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	3058														
163	161	643	647	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	3059								361						
163	161	1287/2	1295/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3060								361						
163	161	644	648	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3061								361						
163	161	1289/2	1297/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3062														
163	161	641	645	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	3063														
164	162	645	649	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	3064								362						
164	162	1291/2	1299/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	3065														
164	162	646	650	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	3066														
164	162	648	652	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	3067														
164	162	645	649	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	3068		articStaccatoAbove												
164	162	646	650	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	3069								363						
164	162	647	651	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	3070								363						
164	162	648	652	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	3071								363						
164	162	645	649	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3072														
164	162	1291/2	1299/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3073														
164	162	646	650	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	3074														
164	162	1293/2	1301/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	3075														
164	162	647	651	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	3076														
164	162	1295/2	1303/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3077														
164	162	648	652	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3078														
164	162	1297/2	1305/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3079														
165	163	649	653	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	3080														
165	163	650	654	2.0		1/4	1/4	Chord	4/4	1	1	1/2			1/2	1	3081														
165	163	652	656	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	3082														
165	163	649	653	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	3083														
165	163	650	654	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	3084								364						
165	163	651	655	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	3085								364						
165	163	652	656	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	3086														
165	163	649	653	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3087														
165	163	1299/2	1307/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3088														
165	163	650	654	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	3089														
165	163	1301/2	1309/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	3090														
165	163	651	655	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	3091														
165	163	1303/2	1311/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3092														
165	163	652	656	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3093														
165	163	1305/2	1313/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3094														
165	163	651	655	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	3095														
166	164	653	657	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	3096								365						
166	164	1307/2	1315/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	3097														
166	164	654	658	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	3098		articStaccatoAbove												
166	164	1309/2	1317/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	3099		articStaccatoAbove												
166	164	655	659	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	3100		articStaccatoBelow												
166	164	1311/2	1319/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	3101		articStaccatoBelow												
166	164	656	660	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	3102		articStaccatoBelow												
166	164	1313/2	1321/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	3103		articStaccatoBelow												
166	164	653	657	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	3104								366						
166	164	654	658	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	3105								366						
166	164	655	659	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	3106														
166	164	656	660	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	3107														
166	164	1313/2	1321/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	3108														
166	164	653	657	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3109														
166	164	1307/2	1315/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3110														
166	164	654	658	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	3111														
166	164	1309/2	1317/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	3112														
166	164	655	659	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	3113														
166	164	1311/2	1319/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	3114														
166	164	656	660	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	3115														
166	164	1313/2	1321/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	3116														
166	164	653	657	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	3117														
166	164	655	659	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	3118														
167	165	657	661	0.0		0	0	Spanner	4/4	1	1	0															56				
167	165	657	661	0.5		0	0	Chord	4/4	1	1	1/8			1/8	1	3119										56				
167	165	1315/2	1323/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	3120								367		56				
167	165	658	662	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	3121								367		56				
167	165	1317/2	1325/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	3122								367		56				
167	165	659	663	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	3123								367		56				
167	165	1319/2	1327/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	3124								367		56				
167	165	660	664	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	3125								367		56				
167	165	1321/2	1329/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	3126										56				
167	165	657	661	0.0		0	0	Spanner	4/4	2	1	0															57				
167	165	657	661	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	3127										57				
167	165	1315/2	1323/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	3128								368		57				
167	165	658	662	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	3129								368		57				
167	165	1317/2	1325/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	3130								368		57				
167	165	659	663	0.5		1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	3131								368		57				
167	165	1319/2	1327/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	3132								368		57				
167	165	660	664	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	3133								368		57				
167	165	1321/2	1329/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	3134										57				
167	165	657	661	0.0		0	0	Spanner	4/4	3	1	0															58				
167	165	657	661	3.0		0	0	Chord	4/4	3	1	3/4			1/2	3/2	3135										58				
167	165	660	664	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	3136										58				
167	165	657	661	0.0		0	0	Spanner	4/4	4	1	0															59				
167	165	657	661	1.0		0	0	Chord	4/4	4	1	1/4			1/4	1	3137								369		59				
167	165	658	662	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	3138								369		59				
167	165	659	663	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	3139								369		59				
167	165	660	664	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	3140										59				
168	166	661	665	0.0		0	0	StaffText	4/4	1	1	0								"<font face=""ScoreText""/>"											
168	166	661	665	0.0		0	0	Spanner	4/4	1	1	0																			
168	166	661	665	0.0		0	0	Spanner	4/4	1	1	0														0					
168	166	661	665	4.0		0	0	Chord	4/4	1	1	1			1	1	3141									0					
168	166	661	665	0.0		0	0	Spanner	4/4	2	1	0																			
168	166	661	665	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	3142								370						
168	166	1323/2	1331/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	3143														
168	166	662	666	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	3144								371						
168	166	664	668	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	3145														
168	166	661	665	0.0		0	0	Spanner	4/4	3	1	0																			
168	166	661	665	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3146								372						
168	166	1323/2	1331/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3147														
168	166	662	666	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	3148								373						
168	166	664	668	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	3149														
168	166	661	665	0.0		0	0	Spanner	4/4	4	1	0																			
168	166	661	665	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	3150								374						
168	166	1323/2	1331/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	3151														
168	166	662	666	2.0		1/4	1/4	Chord	4/4	4	1	1/2			1/2	1	3152								375						
168	166	664	668	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	3153														
169	167	665	669	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	3154									0					
169	167	1331/2	1339/2	0.0		1/8	1/8	Spanner	4/4	1	1	0																			
169	167	666	670	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	3155								376						
169	167	1333/2	1341/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	3156								376						
169	167	667	671	0.5		1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	3157								376						
169	167	1335/2	1343/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	3158								376						
169	167	668	672	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	3159								376						
169	167	1337/2	1345/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	3160														
169	167	1331/2	1339/2	0.25		1/8	1/8	Chord	4/4	1	2	1/16			1/16	1	3161								377						
169	167	2663/4	2679/4	0.25		3/16	3/16	Chord	4/4	1	2	1/16			1/16	1	3162														
169	167	665	669	0.0		0	0	Chord	4/4	2	1	0	acciaccatura		1/16	1	3163														
169	167	665	669	0.0		0	0	Chord	4/4	2	1	0	acciaccatura		1/16	1	3164														
169	167	665	669	0.0		0	0	Chord	4/4	2	1	0	acciaccatura		1/16	1	3165														
169	167	665	669	2.0		0	0	Chord	4/4	2	1	1/2			1/2	1	3166								378						
169	167	667	671	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	3167														
169	167	668	672	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	3168														
169	167	665	669	0.0		0	0	Chord	4/4	3	1	0	acciaccatura		1/16	1	3169														
169	167	665	669	0.0		0	0	Chord	4/4	3	1	0	acciaccatura		1/16	1	3170														
169	167	665	669	0.0		0	0	Chord	4/4	3	1	0	acciaccatura		1/16	1	3171														
169	167	665	669	2.0		0	0	Chord	4/4	3	1	1/2			1/2	1	3172								379						
169	167	667	671	1.0		1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	3173														
169	167	668	672	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	3174														
169	167	665	669	2.0		0	0	Chord	4/4	4	1	1/2			1/2	1	3175								380						
169	167	667	671	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	3176														
169	167	1335/2	1343/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	3177								381						
169	167	668	672	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	3178								381						
169	167	1337/2	1345/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	3179														
170	168	669	673	0.0		0	0	StaffText	4/4	1	1	0								"<font face=""ScoreText""/>"											
170	168	669	673	0.0		0	0	Spanner	4/4	1	1	0														1					
170	168	669	673	4.0		0	0	Chord	4/4	1	1	1			1	1	3180									1					
170	168	669	673	0.5		0	0	Chord	4/4	2	1	1/8			1/8	1	3181								382						
170	168	1339/2	1347/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	3182														
170	168	670	674	2.0		1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	3183								383						
170	168	672	676	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	3184														
170	168	669	673	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	3185								384						
170	168	1339/2	1347/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	3186														
170	168	670	674	2.0		1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	3187								385						
170	168	672	676	1.0		3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	3188														
170	168	669	673	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	3189								386						
170	168	1339/2	1347/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	3190														
170	168	670	674	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	3191								387						
170	168	671	675	1.0		1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	3192								387						
170	168	672	676	1.0		3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	3193														
171	169	673	677	0.0		0	0	Chord	4/4	1	1	0	grace16after		1/16	1	3194									1					
171	169	673	677	0.0		0	0	Chord	4/4	1	1	0	grace16after		1/16	1	3195									1					
171	169	673	677	4.0		0	0	Chord	4/4	1	1	1			1	1	3196									1					
171	169	673	677	0.0		0	0	Chord	4/4	2	1	0	acciaccatura		1/16	1	3197														
171	169	673	677	0.0		0	0	Chord	4/4	2	1	0	acciaccatura		1/16	1	3198														
171	169	673	677	0.0		0	0	Chord	4/4	2	1	0	acciaccatura		1/16	1	3199														
