mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
117	110	430	438	1.0	1/4	1/4	2/2	1	1		i2	c	i		i2		i		2						mm7	1	1	-2, 0, -3, 1		0	-2
117	110	431	439	1.0	1/2	1/2	2/2	1	1		VI	c	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
117	110	432	440	1.0	3/4	3/4	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
118	111	433	441	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
118	111	434	442	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
118	111	435	443	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
118	111	436	444	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
119	112	437	445	2.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
119	112	439	447	2.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
120	113	441	449	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
121	114	445	453	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
122	115	449	457	2.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
122	115	451	459	2.0	1/2	1/2	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
123	116	453	461	12.0	0	0	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
126	119	465	473	4.0	0	0	2/2	1	1		I.I	c	I		I		I								M	1	0	0, 4, 1		0	0
127	120	469	477	4.0	0	0	2/2	1	1		V43	c	I		V43		V		43						Mm7	1	0	2, -1, 1, 5		1	2
128	121	473	481	2.0	0	0	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
128	121	475	483	2.0	1/2	1/2	2/2	1	1		#viio6/V	c	I		#viio6/V		#vii	o	6		V				o	1	0	3, 0, 6		6	3
129	122	477	485	2.0	0	0	2/2	1	1		V(4)	c	I		V(4)		V			4					M	1	0	1, 0, 2		1	1
129	122	479	487	2.0	1/2	1/2	2/2	1	1		V	c	I		V		V								M	1	0	1, 5, 2		1	1
130	123	481	489	0.0	0	0	2/2	1	1		V65/ii	c	I		V65/ii		V		65		ii				Mm7	1	0	7, 4, 1, 3		3	7
130	123	481	489	4.0	0	0	2/2	1	1		ii	c	I		ii		ii								m	1	0	2, -1, 3		2	2
131	124	485	493	0.0	0	0	2/2	1	1		V65	c	I		V65		V		65						Mm7	1	0	5, 2, -1, 1		1	5
131	124	485	493	4.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
132	125	489	497	1.0	0	0	2/2	1	1		ii6(94)	c	I		ii6(94)		ii		6	94					m	1	0	1, 3, 2	4	2	1
132	125	490	498	1.0	1/4	1/4	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
132	125	491	499	1.0	1/2	1/2	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
132	125	492	500	1.0	3/4	3/4	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
133	126	493	501	4.0	0	0	2/2	1	1		I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
134	127	497	505	4.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
135	128	501	509	4.0	0	0	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
136	129	505	513	1.0	0	0	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
136	129	506	514	2.0	1/4	1/4	2/2	1	1		V6	c	I		V6		V		6						M	1	0	5, 2, 1		1	5
136	129	508	516	1.0	3/4	3/4	2/2	1	1		V7/V	c	I		V7/V		V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
137	130	509	517	4.0	0	0	2/2	1	1		V	c	I		V		V								M	1	0	1, 5, 2		1	1
138	131	513	521	2.0	0	0	2/2	1	1		V7/ii	c	I		V7/ii		V		7		ii				Mm7	1	0	3, 7, 4, 1		3	3
138	131	515	523	2.0	1/2	1/2	2/2	1	1		ii	c	I		ii		ii								m	1	0	2, -1, 3		2	2
139	132	517	525	2.0	0	0	2/2	1	1		V	c	I		V		V								M	1	0	1, 5, 2		1	1
139	132	519	527	2.0	1/2	1/2	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
140	133	521	529	1.0	0	0	2/2	1	1		ii6(2)	c	I		ii6(2)		ii		6	2					m	1	0	-1, 3, 4		2	-1
140	133	522	530	1.0	1/4	1/4	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
140	133	523	531	1.0	1/2	1/2	2/2	1	1		V7(4)	c	I		V7(4)		V		7	4					Mm7	1	0	1, 0, 2, -1		1	1
140	133	524	532	1.0	3/4	3/4	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
141	134	525	533	3.0	0	0	2/2	1	1		I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
141	134	528	536	1.0	3/4	3/4	2/2	1	1		v6	c	I		v6		v		6						m	1	0	-2, 2, 1		1	-2
142	135	529	537	2.0	0	0	2/2	1	1		V7/ii	c	I		V7/ii		V		7		ii				Mm7	1	0	3, 7, 4, 1		3	3
142	135	531	539	2.0	1/2	1/2	2/2	1	1		ii	c	I		ii		ii								m	1	0	2, -1, 3		2	2
143	136	533	541	2.0	0	0	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
143	136	535	543	2.0	1/2	1/2	2/2	1	1		I	c	I		I		I								M	1	0	0, 4, 1		0	0
144	137	537	545	4.0	0	0	2/2	1	1		ii6	c	I		ii6		ii		6						m	1	0	-1, 3, 2		2	-1
145	138	541	549	2.0	0	0	2/2	1	1		V(64)	c	I		V(64)		V			64					M	1	0	1, 0, 4		1	1
145	138	543	551	2.0	1/2	1/2	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
146	139	545	553	4.0	0	0	2/2	1	1		I\\	c	I		I		I							\\	M	1	0	0, 4, 1		0	0
147	140	549	557	4.0	0	0	2/2	1	1		I6	c	I		I6		I		6						M	1	0	4, 1, 0		0	4
148	141	553	561	4.0	0	0	2/2	1	1		V64	c	I		V64		V		64						M	1	0	2, 1, 5		1	2
149	142	557	565	4.0	0	0	2/2	1	1		V7	c	I		V7		V		7						Mm7	1	0	1, 5, 2, -1		1	1
150	143	561	569	4.0	0	0	2/2	1	1		i.i	c	i		i		i								m	1	1	0, -3, 1		0	0
151	144	565	573	4.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
152	145	569	577	8.0	0	0	2/2	1	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
154	147	577	585	4.0	0	0	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
155	148	581	589	4.0	0	0	2/2	1	1		III6	c	i		III6		III		6						M	1	1	1, -2, -3		-3	1
156	149	585	593	7.0	0	0	2/2	1	1		V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
157	150	592	600	1.0	3/4	3/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
158	151	593	601	8.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
160	153	601	609	8.0	0	0	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
162	155	609	617	1.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
162	155	610	618	1.0	1/4	1/4	2/2	1	1		V[V	c	i	V	V		V								M	1	1	1, 5, 2		1	1
162	155	611	619	2.0	1/2	1/2	2/2	1	1		#viio7	c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
163	156	613	621	1.0	0	0	2/2	1	1		VI6	c	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0
163	156	614	622	1.0	1/4	1/4	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
163	156	615	623	1.0	1/2	1/2	2/2	1	1		#viio6	c	i		#viio6		#vii	o	6						o	1	1	2, -1, 5		5	2
163	156	616	624	1.0	3/4	3/4	2/2	1	1		#viio43/V	c	i		#viio43/V		#vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
164	157	617	625	2.0	0	0	2/2	1	1		V6	c	i		V6		V		6						M	1	1	5, 2, 1		1	5
164	157	619	627	2.0	1/2	1/2	2/2	1	1		#viio7	c	i		#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
165	158	621	629	1.0	0	0	2/2	1	1		VI6	c	i		VI6		VI		6						M	1	1	0, -3, -4		-4	0
165	158	622	630	1.0	1/4	1/4	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
165	158	623	631	1.0	1/2	1/2	2/2	1	1		viio6	c	i		viio6		vii	o	6						o	1	1	-5, -8, -2		-2	-5
165	158	624	632	1.0	3/4	3/4	2/2	1	1		#viio43/V	c	i		#viio43/V		#vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
166	159	625	633	1.0	0	0	2/2	1	1		V]	c	i		V		V					]			M	1	1	1, 5, 2		1	1
166	159	626	634	1.0	1/4	1/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
166	159	627	635	6.0	1/2	1/2	2/2	1	1		#viio2	c	i		#viio2		#vii	o	2						o7	1	1	-4, 5, 2, -1		5	-4
168	161	633	641	2.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
168	161	635	643	14.0	1/2	1/2	2/2	1	1		#viio7\\	c	i		#viio7		#vii	o	7					\\	o7	1	1	5, 2, -1, -4		5	5
172	165	649	657	8.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
174	167	657	665	1.0	0	0	2/2	1	1		V65	c	i		V65		V		65						Mm7	1	1	5, 2, -1, 1		1	5
174	167	658	666	1.0	1/4	1/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
174	167	659	667	1.0	1/2	1/2	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
174	167	660	668	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
175	168	661	669	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
176	169	665	673	4.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
177	170	669	677	2.0	0	0	2/2	1	1		v.iv	c	v		iv		iv								m	1	1	-1, -4, 0		-1	-1
177	170	671	679	2.0	1/2	1/2	2/2	1	1		#viio7/V	c	v		#viio7/V		#vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
178	171	673	681	1.0	0	0	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
178	171	674	682	1.0	1/4	1/4	2/2	1	1		.Ger6	c	v		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
178	171	675	683	1.0	1/2	1/2	2/2	1	1		V(64)	c	v		V(64)		V			64					M	1	1	1, 0, -3		1	1
178	171	676	684	1.0	3/4	3/4	2/2	1	1		V	c	v		V		V								M	1	1	1, 5, 2		1	1
179	172	677	685	4.0	0	0	2/2	1	1		i\\	c	v		i		i							\\	m	1	1	0, -3, 1		0	0
180	173	681	689	3.0	0	0	2/2	1	1		i.V7/iv	c	i		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
180	173	684	692	1.0	3/4	3/4	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
181	174	685	693	3.0	0	0	2/2	1	1		V7/III	c	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
181	174	688	696	1.0	3/4	3/4	2/2	1	1		III	c	i		III		III								M	1	1	-3, 1, -2		-3	-3
182	175	689	697	2.0	0	0	2/2	1	1		iv6(2)	c	i		iv6(2)		iv		6	2					m	1	1	-4, 0, 1		-1	-4
182	175	691	699	1.0	1/2	1/2	2/2	1	1		ii%43	c	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
182	175	692	700	1.0	3/4	3/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
183	176	693	701	4.0	0	0	2/2	1	1		V\\	c	i		V		V							\\	M	1	1	1, 5, 2		1	1
184	177	697	705	5.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
185	178	702	710	1.0	1/4	1/4	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
185	178	703	711	1.0	1/2	1/2	2/2	1	1		iv65	c	i		iv65		iv		65						mm7	1	1	-4, 0, -3, -1		-1	-4
185	178	704	712	1.0	3/4	3/4	2/2	1	1		V64/iv	c	i		V64/iv		V		64		iv				M	1	1	1, 0, 4		0	1
186	179	705	713	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
186	179	706	714	1.0	1/4	1/4	2/2	1	1		.It6	c	i		It6	It	vii	o	6	b3	V				It	1	1	-4, 0, 6		6	-4
186	179	707	715	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
186	179	708	716	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
187	180	709	717	3.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
187	180	712	720	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
188	181	713	721	3.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
188	181	716	724	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
189	182	717	725	3.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
189	182	720	728	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
190	183	721	729	1.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
190	183	722	730	1.0	1/4	1/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
190	183	723	731	1.0	1/2	1/2	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
190	183	724	732	1.0	3/4	3/4	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
191	184	725	733	2.0	0	0	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
191	184	727	735	2.0	1/2	1/2	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
192	185	729	737	2.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
192	185	731	739	2.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
193	186	733	741	4.0	0	0	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
194	187	737	745	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
195	188	741	749	2.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
195	188	743	751	2.0	1/2	1/2	2/2	1	1		V2/iv	c	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
196	189	745	753	2.0	0	0	2/2	1	1		iv6	c	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
196	189	747	755	2.0	1/2	1/2	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
197	190	749	757	0.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
197	190	749	757	4.0	0	0	2/2	1	1		iv7	c	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
198	191	753	761	4.0	0	0	2/2	1	1		.Ger6	c	i		Ger6	Ger	vii	o	65	b3	V				Ger	1	1	-4, 0, -3, 6		6	-4
199	192	757	765	4.0	0	0	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
200	193	761	769	4.0	0	0	2/2	1	1		V	c	i		V		V								M	1	1	1, 5, 2		1	1
201	194	765	773	3.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
201	194	768	776	1.0	3/4	3/4	2/2	1	1		i64	c	i		i64		i		64						m	1	1	1, 0, -3		0	1
202	195	769	777	3.0	0	0	2/2	1	1		V43	c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
202	195	772	780	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
203	196	773	781	3.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
203	196	776	784	1.0	3/4	3/4	2/2	1	1		i	c	i		i		i								m	1	1	0, -3, 1		0	0
204	197	777	785	1.0	0	0	2/2	1	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
204	197	778	786	1.0	1/4	1/4	2/2	1	1		ii%7	c	i		ii%7		ii	%	7						%7	1	1	2, -1, -4, 0		2	2
204	197	779	787	1.0	1/2	1/2	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
204	197	780	788	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
205	198	781	789	4.0	0	0	2/2	1	1		i\\	c	i		i		i							\\	m	1	1	0, -3, 1		0	0
206	199	785	793	1.0	0	0	2/2	1	1		V43	c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
206	199	786	794	1.0	1/4	1/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
206	199	787	795	1.0	1/2	1/2	2/2	1	1		V43	c	i		V43		V		43						Mm7	1	1	2, -1, 1, 5		1	2
206	199	788	796	1.0	3/4	3/4	2/2	1	1		V7	c	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
207	200	789	797	8.0	0	0	2/2	1	1		i6	c	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
209	202	797	805	8.0	0	0	2/2	1	1		ii%65	c	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
211	204	805	813	4.0	0	0	2/2	1	1		V(64)	c	i		V(64)		V			64					M	1	1	1, 0, -3		1	1
212	205	809	817	4.0	0	0	2/2	1	1		V7\\	c	i		V7		V		7					\\	Mm7	1	1	1, 5, 2, -1		1	1
213	206	813	821	4.0	0	0	2/2	1	1		I[I	c	i	I	I		I								M	1	1	0, 4, 1		0	0
214	207	817	825	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
214	207	818	826	1.0	1/4	1/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
214	207	819	827	1.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
214	207	820	828	5.0	3/4	3/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
216	209	825	833	1.0	0	0	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
216	209	826	834	1.0	1/4	1/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
216	209	827	835	1.0	1/2	1/2	2/2	1	1		iv	c	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
216	209	828	836	17.0	3/4	3/4	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
221	214	845	853	4.0	0	0	2/2	1	1		I]	c	i		I		I					]			M	1	1	0, 4, 1		0	0
222	215	849	857	12.0	0	0	2/2	1	1		I	c	i		I		I								M	1	1	0, 4, 1		0	0
225	218	861	869	7.0	0	0	2/2	1	1		I\\	c	i		I		I							\\	M	1	1	0, 4, 1		0	0
