StaffIndex,SystemIndex,Left,Top,Height,Width,Image
9,5,45,559,21,513,Wagner_WWV086B_183.png
10,5,45,605,22,513,Wagner_WWV086B_183.png
11,6,47,673,22,511,Wagner_WWV086B_183.png
12,6,47,726,22,511,Wagner_WWV086B_183.png
1,1,47,81,22,513,Wagner_WWV086B_184.png
2,1,47,131,21,513,Wagner_WWV086B_184.png
3,2,45,205,22,514,Wagner_WWV086B_184.png
4,2,45,255,21,514,Wagner_WWV086B_184.png
5,3,43,324,21,516,Wagner_WWV086B_184.png
6,3,43,369,22,516,Wagner_WWV086B_184.png
7,4,45,448,23,514,Wagner_WWV086B_184.png
8,4,45,498,22,514,Wagner_WWV086B_184.png
9,5,45,567,20,513,Wagner_WWV086B_184.png
10,5,45,611,23,513,Wagner_WWV086B_184.png
11,6,45,681,22,512,Wagner_WWV086B_184.png
12,6,45,730,23,512,Wagner_WWV086B_184.png
1,1,42,76,22,512,Wagner_WWV086B_185.png
2,1,42,129,23,512,Wagner_WWV086B_185.png
3,2,44,192,24,511,Wagner_WWV086B_185.png
4,2,44,245,24,511,Wagner_WWV086B_185.png
5,3,44,312,22,511,Wagner_WWV086B_185.png
6,3,44,364,23,511,Wagner_WWV086B_185.png
7,4,45,428,27,511,Wagner_WWV086B_185.png
8,4,45,483,22,511,Wagner_WWV086B_185.png
9,5,45,553,23,512,Wagner_WWV086B_185.png
10,5,45,606,22,512,Wagner_WWV086B_185.png
11,6,48,672,24,509,Wagner_WWV086B_185.png
12,6,48,727,25,509,Wagner_WWV086B_185.png
1,1,54,60,23,516,Wagner_WWV086B_186.png
2,1,54,120,25,516,Wagner_WWV086B_186.png
3,2,55,187,21,514,Wagner_WWV086B_186.png
4,2,55,238,22,514,Wagner_WWV086B_186.png
5,3,55,305,22,514,Wagner_WWV086B_186.png
6,3,55,358,21,514,Wagner_WWV086B_186.png
7,4,56,423,22,513,Wagner_WWV086B_186.png
8,4,56,476,23,513,Wagner_WWV086B_186.png
9,5,56,542,21,512,Wagner_WWV086B_186.png
10,5,56,596,23,512,Wagner_WWV086B_186.png
11,6,56,660,25,512,Wagner_WWV086B_186.png
12,6,56,721,20,512,Wagner_WWV086B_186.png
1,1,43,61,24,513,Wagner_WWV086B_187.png
2,1,43,118,24,513,Wagner_WWV086B_187.png
3,2,43,184,23,513,Wagner_WWV086B_187.png
4,2,43,234,22,513,Wagner_WWV086B_187.png
5,3,44,299,25,513,Wagner_WWV086B_187.png
6,3,44,352,25,513,Wagner_WWV086B_187.png
7,4,42,422,19,514,Wagner_WWV086B_187.png
8,4,42,471,21,514,Wagner_WWV086B_187.png
9,5,43,536,22,512,Wagner_WWV086B_187.png
10,5,43,588,22,512,Wagner_WWV086B_187.png
11,6,42,666,22,513,Wagner_WWV086B_187.png
12,6,42,713,22,513,Wagner_WWV086B_187.png
1,1,52,66,22,514,Wagner_WWV086B_188.png
2,1,52,118,22,514,Wagner_WWV086B_188.png
3,2,52,193,22,478,Wagner_WWV086B_188.png
4,2,52,242,20,478,Wagner_WWV086B_188.png
5,3,52,314,22,514,Wagner_WWV086B_188.png
6,3,52,364,21,514,Wagner_WWV086B_188.png
7,4,52,432,25,513,Wagner_WWV086B_188.png
8,4,52,483,22,513,Wagner_WWV086B_188.png
9,5,52,553,22,514,Wagner_WWV086B_188.png
10,5,52,602,21,514,Wagner_WWV086B_188.png
11,6,52,668,24,514,Wagner_WWV086B_188.png
12,6,52,722,22,514,Wagner_WWV086B_188.png
1,1,47,60,23,512,Wagner_WWV086B_189.png
2,1,47,112,21,512,Wagner_WWV086B_189.png
3,2,47,180,21,512,Wagner_WWV086B_189.png
4,2,47,231,20,512,Wagner_WWV086B_189.png
5,3,47,298,22,512,Wagner_WWV086B_189.png
6,3,47,348,22,512,Wagner_WWV086B_189.png
7,4,47,420,21,512,Wagner_WWV086B_189.png
8,4,47,466,22,512,Wagner_WWV086B_189.png
9,5,47,536,22,510,Wagner_WWV086B_189.png
10,5,47,584,22,510,Wagner_WWV086B_189.png
11,6,45,667,24,515,Wagner_WWV086B_189.png
12,6,45,718,22,515,Wagner_WWV086B_189.png
1,1,47,74,23,514,Wagner_WWV086B_190.png
2,1,47,120,24,514,Wagner_WWV086B_190.png
3,2,49,197,24,512,Wagner_WWV086B_190.png
4,2,49,241,24,512,Wagner_WWV086B_190.png
5,3,50,313,22,512,Wagner_WWV086B_190.png
6,3,50,359,21,512,Wagner_WWV086B_190.png
7,4,51,433,24,512,Wagner_WWV086B_190.png
8,4,51,486,23,512,Wagner_WWV086B_190.png
9,5,52,557,22,512,Wagner_WWV086B_190.png
10,5,52,604,23,512,Wagner_WWV086B_190.png
11,6,54,672,25,511,Wagner_WWV086B_190.png
12,6,54,724,24,511,Wagner_WWV086B_190.png
1,1,43,79,25,513,Wagner_WWV086B_191.png
2,1,43,128,21,513,Wagner_WWV086B_191.png
3,2,43,197,25,512,Wagner_WWV086B_191.png
4,2,43,248,22,512,Wagner_WWV086B_191.png
5,3,42,317,25,512,Wagner_WWV086B_191.png
6,3,42,369,22,512,Wagner_WWV086B_191.png
7,4,43,442,24,511,Wagner_WWV086B_191.png
8,4,43,492,23,511,Wagner_WWV086B_191.png
9,5,43,560,26,510,Wagner_WWV086B_191.png
10,5,43,611,22,510,Wagner_WWV086B_191.png
11,6,43,684,25,511,Wagner_WWV086B_191.png
12,6,43,737,21,511,Wagner_WWV086B_191.png
1,1,51,80,22,514,Wagner_WWV086B_192.png
2,1,51,130,21,514,Wagner_WWV086B_192.png
3,2,51,203,24,514,Wagner_WWV086B_192.png
4,2,51,254,22,514,Wagner_WWV086B_192.png
5,3,52,324,21,514,Wagner_WWV086B_192.png
6,3,52,371,23,514,Wagner_WWV086B_192.png
7,4,51,443,22,515,Wagner_WWV086B_192.png
8,4,51,492,22,515,Wagner_WWV086B_192.png
9,5,52,562,21,514,Wagner_WWV086B_192.png
10,5,52,609,21,514,Wagner_WWV086B_192.png
11,6,52,681,23,514,Wagner_WWV086B_192.png
12,6,52,731,21,514,Wagner_WWV086B_192.png
1,1,49,72,20,513,Wagner_WWV086B_193.png
2,1,49,121,22,513,Wagner_WWV086B_193.png
3,2,48,189,24,513,Wagner_WWV086B_193.png
4,2,48,243,24,513,Wagner_WWV086B_193.png
5,3,47,314,24,513,Wagner_WWV086B_193.png
6,3,47,367,25,513,Wagner_WWV086B_193.png
7,4,47,439,24,513,Wagner_WWV086B_193.png
8,4,47,488,22,513,Wagner_WWV086B_193.png
9,5,47,555,24,512,Wagner_WWV086B_193.png
10,5,47,605,22,512,Wagner_WWV086B_193.png
11,6,47,675,24,512,Wagner_WWV086B_193.png
12,6,47,724,22,512,Wagner_WWV086B_193.png
1,1,38,77,23,519,Wagner_WWV086B_194.png
2,1,38,125,22,519,Wagner_WWV086B_194.png
3,2,42,195,24,515,Wagner_WWV086B_194.png
4,2,42,242,23,515,Wagner_WWV086B_194.png
5,3,43,320,22,512,Wagner_WWV086B_194.png
6,3,43,369,23,512,Wagner_WWV086B_194.png
7,4,43,433,23,514,Wagner_WWV086B_194.png
8,4,43,484,21,514,Wagner_WWV086B_194.png
9,5,44,551,22,513,Wagner_WWV086B_194.png
10,5,44,603,22,513,Wagner_WWV086B_194.png
11,6,45,672,25,513,Wagner_WWV086B_194.png
12,6,45,727,22,513,Wagner_WWV086B_194.png
1,1,39,68,22,514,Wagner_WWV086B_195.png
2,1,39,114,22,514,Wagner_WWV086B_195.png
3,2,40,180,24,513,Wagner_WWV086B_195.png
4,2,40,232,22,513,Wagner_WWV086B_195.png
5,3,42,300,23,511,Wagner_WWV086B_195.png
6,3,42,348,23,511,Wagner_WWV086B_195.png
7,4,40,426,23,512,Wagner_WWV086B_195.png
8,4,40,470,21,512,Wagner_WWV086B_195.png
9,5,40,548,24,512,Wagner_WWV086B_195.png
10,5,40,592,22,512,Wagner_WWV086B_195.png
11,6,40,670,24,512,Wagner_WWV086B_195.png
12,6,40,723,22,512,Wagner_WWV086B_195.png
1,1,45,68,22,515,Wagner_WWV086B_196.png
2,1,45,122,21,515,Wagner_WWV086B_196.png
3,2,47,190,22,513,Wagner_WWV086B_196.png
4,2,47,244,21,513,Wagner_WWV086B_196.png
5,3,50,312,22,511,Wagner_WWV086B_196.png
6,3,50,362,21,511,Wagner_WWV086B_196.png
7,4,47,437,22,514,Wagner_WWV086B_196.png
8,4,47,482,21,514,Wagner_WWV086B_196.png
9,5,49,550,25,512,Wagner_WWV086B_196.png
10,5,49,594,25,512,Wagner_WWV086B_196.png
11,6,52,666,27,512,Wagner_WWV086B_196.png
12,6,52,719,24,512,Wagner_WWV086B_196.png
1,1,48,86,24,512,Wagner_WWV086B_197.png
2,1,48,133,25,512,Wagner_WWV086B_197.png
3,2,47,201,23,513,Wagner_WWV086B_197.png
4,2,47,253,23,513,Wagner_WWV086B_197.png
5,3,47,323,22,512,Wagner_WWV086B_197.png
6,3,47,372,23,512,Wagner_WWV086B_197.png
7,4,45,445,23,499,Wagner_WWV086B_197.png
8,4,45,491,21,499,Wagner_WWV086B_197.png
9,5,45,564,22,515,Wagner_WWV086B_197.png
10,5,45,608,22,515,Wagner_WWV086B_197.png
11,6,45,683,22,512,Wagner_WWV086B_197.png
12,6,45,726,21,512,Wagner_WWV086B_197.png
1,1,46,77,24,514,Wagner_WWV086B_198.png
2,1,46,122,21,514,Wagner_WWV086B_198.png
3,2,46,201,24,515,Wagner_WWV086B_198.png
4,2,46,252,23,515,Wagner_WWV086B_198.png
5,3,47,319,24,514,Wagner_WWV086B_198.png
6,3,47,363,23,514,Wagner_WWV086B_198.png
7,4,46,440,23,514,Wagner_WWV086B_198.png
8,4,46,486,22,514,Wagner_WWV086B_198.png
9,5,47,557,23,515,Wagner_WWV086B_198.png
10,5,47,605,22,515,Wagner_WWV086B_198.png
11,6,49,673,24,514,Wagner_WWV086B_198.png
12,6,49,733,23,514,Wagner_WWV086B_198.png
1,1,54,82,23,513,Wagner_WWV086B_199.png
2,1,54,124,24,513,Wagner_WWV086B_199.png
3,2,54,200,23,513,Wagner_WWV086B_199.png
4,2,54,243,23,513,Wagner_WWV086B_199.png
5,3,52,315,24,514,Wagner_WWV086B_199.png
6,3,52,357,24,514,Wagner_WWV086B_199.png
7,4,52,440,21,513,Wagner_WWV086B_199.png
8,4,52,487,23,513,Wagner_WWV086B_199.png
9,5,51,561,23,512,Wagner_WWV086B_199.png
10,5,51,614,23,512,Wagner_WWV086B_199.png
11,6,49,683,22,512,Wagner_WWV086B_199.png
12,6,49,735,22,512,Wagner_WWV086B_199.png
1,1,50,63,23,513,Wagner_WWV086B_200.png
2,1,50,118,27,513,Wagner_WWV086B_200.png
3,2,51,190,24,513,Wagner_WWV086B_200.png
4,2,51,245,24,513,Wagner_WWV086B_200.png
5,3,50,316,23,513,Wagner_WWV086B_200.png
6,3,50,374,25,513,Wagner_WWV086B_200.png
7,4,51,446,22,514,Wagner_WWV086B_200.png
8,4,51,495,22,514,Wagner_WWV086B_200.png
9,5,51,566,24,517,Wagner_WWV086B_200.png
10,5,51,622,22,518,Wagner_WWV086B_200.png
11,6,54,692,26,514,Wagner_WWV086B_200.png
12,6,54,735,21,514,Wagner_WWV086B_200.png
1,1,41,78,23,515,Wagner_WWV086B_201.png
2,1,41,125,22,515,Wagner_WWV086B_201.png
3,2,41,201,24,515,Wagner_WWV086B_201.png
4,2,41,247,22,515,Wagner_WWV086B_201.png
5,3,41,320,24,514,Wagner_WWV086B_201.png
6,3,41,368,23,514,Wagner_WWV086B_201.png
7,4,41,447,21,514,Wagner_WWV086B_201.png
8,4,41,495,21,514,Wagner_WWV086B_201.png
9,5,38,571,22,487,Wagner_WWV086B_201.png
10,5,38,619,22,487,Wagner_WWV086B_201.png
11,6,38,683,23,517,Wagner_WWV086B_201.png
12,6,38,731,22,517,Wagner_WWV086B_201.png
1,1,57,71,23,514,Wagner_WWV086B_202.png
2,1,57,121,23,514,Wagner_WWV086B_202.png
3,2,57,200,22,514,Wagner_WWV086B_202.png
4,2,57,249,23,514,Wagner_WWV086B_202.png
5,3,57,329,23,514,Wagner_WWV086B_202.png
6,3,57,381,22,514,Wagner_WWV086B_202.png
7,4,57,451,23,515,Wagner_WWV086B_202.png
8,4,57,501,22,515,Wagner_WWV086B_202.png
9,5,58,566,22,490,Wagner_WWV086B_202.png
10,5,58,614,20,490,Wagner_WWV086B_202.png
11,6,59,678,24,515,Wagner_WWV086B_202.png
12,6,59,729,27,515,Wagner_WWV086B_202.png
1,1,40,66,23,513,Wagner_WWV086B_203.png
2,1,40,117,23,513,Wagner_WWV086B_203.png
3,2,40,187,25,513,Wagner_WWV086B_203.png
4,2,40,243,25,513,Wagner_WWV086B_203.png
5,3,40,302,23,513,Wagner_WWV086B_203.png
6,3,40,362,24,513,Wagner_WWV086B_203.png
7,4,40,430,24,513,Wagner_WWV086B_203.png
8,4,40,480,22,513,Wagner_WWV086B_203.png
9,5,40,551,24,513,Wagner_WWV086B_203.png
10,5,40,600,23,513,Wagner_WWV086B_203.png
11,6,40,672,24,513,Wagner_WWV086B_203.png
12,6,40,726,24,513,Wagner_WWV086B_203.png
1,1,51,75,23,512,Wagner_WWV086B_204.png
2,1,51,128,24,512,Wagner_WWV086B_204.png
3,2,52,218,24,512,Wagner_WWV086B_204.png
4,2,52,258,25,512,Wagner_WWV086B_204.png
5,3,52,328,25,513,Wagner_WWV086B_204.png
6,3,52,373,23,513,Wagner_WWV086B_204.png
7,4,52,444,25,514,Wagner_WWV086B_204.png
8,4,52,491,24,514,Wagner_WWV086B_204.png
9,5,54,559,25,513,Wagner_WWV086B_204.png
10,5,54,609,25,513,Wagner_WWV086B_204.png
11,6,55,673,23,513,Wagner_WWV086B_204.png
12,6,55,735,23,513,Wagner_WWV086B_204.png
1,1,51,67,23,511,Wagner_WWV086B_205.png
2,1,51,114,22,511,Wagner_WWV086B_205.png
3,2,50,189,23,513,Wagner_WWV086B_205.png
4,2,50,245,23,513,Wagner_WWV086B_205.png
5,3,50,322,21,512,Wagner_WWV086B_205.png
6,3,50,367,21,512,Wagner_WWV086B_205.png
7,4,49,445,21,513,Wagner_WWV086B_205.png
8,4,49,491,21,513,Wagner_WWV086B_205.png
9,5,47,562,22,514,Wagner_WWV086B_205.png
10,5,47,606,22,514,Wagner_WWV086B_205.png
11,6,47,675,23,514,Wagner_WWV086B_205.png
12,6,47,729,22,514,Wagner_WWV086B_205.png
1,1,49,66,24,515,Wagner_WWV086B_206.png
2,1,49,119,22,515,Wagner_WWV086B_206.png
3,2,50,192,22,514,Wagner_WWV086B_206.png
4,2,50,245,22,514,Wagner_WWV086B_206.png
5,3,50,316,21,514,Wagner_WWV086B_206.png
6,3,50,361,21,514,Wagner_WWV086B_206.png
7,4,51,442,23,513,Wagner_WWV086B_206.png
8,4,51,487,22,513,Wagner_WWV086B_206.png
9,5,52,568,22,513,Wagner_WWV086B_206.png
10,5,52,609,23,513,Wagner_WWV086B_206.png
11,6,52,685,22,514,Wagner_WWV086B_206.png
12,6,52,730,24,514,Wagner_WWV086B_206.png
1,1,51,70,21,513,Wagner_WWV086B_207.png
2,1,51,114,23,513,Wagner_WWV086B_207.png
3,2,51,189,20,511,Wagner_WWV086B_207.png
4,2,51,233,22,511,Wagner_WWV086B_207.png
5,3,50,310,23,514,Wagner_WWV086B_207.png
6,3,50,356,21,514,Wagner_WWV086B_207.png
7,4,49,439,23,514,Wagner_WWV086B_207.png
8,4,49,488,22,514,Wagner_WWV086B_207.png
9,5,49,573,25,513,Wagner_WWV086B_207.png
10,5,49,624,23,513,Wagner_WWV086B_207.png
11,6,48,694,23,516,Wagner_WWV086B_207.png
12,6,48,735,21,516,Wagner_WWV086B_207.png
1,1,59,69,24,515,Wagner_WWV086B_208.png
2,1,59,114,24,515,Wagner_WWV086B_208.png
3,2,61,185,24,514,Wagner_WWV086B_208.png
4,2,61,232,23,514,Wagner_WWV086B_208.png
5,3,61,315,23,515,Wagner_WWV086B_208.png
6,3,61,352,23,515,Wagner_WWV086B_208.png
7,4,61,436,22,514,Wagner_WWV086B_208.png
8,4,61,472,23,514,Wagner_WWV086B_208.png
9,5,63,560,24,514,Wagner_WWV086B_208.png
10,5,63,609,21,514,Wagner_WWV086B_208.png
11,6,63,691,24,514,Wagner_WWV086B_208.png
12,6,63,737,22,514,Wagner_WWV086B_208.png
1,1,42,74,24,512,Wagner_WWV086B_209.png
2,1,42,123,23,512,Wagner_WWV086B_209.png
3,2,41,200,22,512,Wagner_WWV086B_209.png
4,2,41,244,22,512,Wagner_WWV086B_209.png
5,3,40,318,23,512,Wagner_WWV086B_209.png
6,3,40,366,22,512,Wagner_WWV086B_209.png
7,4,38,438,23,514,Wagner_WWV086B_209.png
8,4,38,486,23,514,Wagner_WWV086B_209.png
9,5,38,562,25,514,Wagner_WWV086B_209.png
10,5,38,612,21,514,Wagner_WWV086B_209.png
11,6,37,682,25,514,Wagner_WWV086B_209.png
12,6,37,732,21,514,Wagner_WWV086B_209.png
1,1,49,67,24,514,Wagner_WWV086B_210.png
2,1,49,122,21,514,Wagner_WWV086B_210.png
3,2,49,196,25,515,Wagner_WWV086B_210.png
4,2,49,245,24,515,Wagner_WWV086B_210.png
5,3,49,327,20,515,Wagner_WWV086B_210.png
6,3,50,374,22,514,Wagner_WWV086B_210.png
7,4,49,441,21,513,Wagner_WWV086B_210.png
8,4,49,486,22,513,Wagner_WWV086B_210.png
9,5,49,562,21,514,Wagner_WWV086B_210.png
10,5,49,611,20,514,Wagner_WWV086B_210.png
11,6,49,676,21,511,Wagner_WWV086B_210.png
12,6,49,722,22,511,Wagner_WWV086B_210.png
