StaffMeasureIndex,SystemIndex,StaffIndex,Left,Top,Height,Width,Image
7,1,2,50,124,21,125,Wagner_WWV086B_152.png
8,2,2,175,124,21,103,Wagner_WWV086B_152.png
9,3,2,279,124,21,73,Wagner_WWV086B_152.png
10,4,2,354,124,21,63,Wagner_WWV086B_152.png
11,5,2,418,124,21,73,Wagner_WWV086B_152.png
12,6,2,492,124,21,81,Wagner_WWV086B_152.png
13,7,3,50,198,24,113,Wagner_WWV086B_152.png
14,8,3,164,198,24,84,Wagner_WWV086B_152.png
15,9,3,250,198,24,84,Wagner_WWV086B_152.png
16,10,3,335,198,24,72,Wagner_WWV086B_152.png
17,11,3,408,198,24,73,Wagner_WWV086B_152.png
18,12,3,482,198,24,91,Wagner_WWV086B_152.png
19,7,4,50,242,22,113,Wagner_WWV086B_152.png
20,8,4,164,242,22,84,Wagner_WWV086B_152.png
21,9,4,250,242,22,84,Wagner_WWV086B_152.png
22,10,4,335,242,22,72,Wagner_WWV086B_152.png
23,11,4,408,242,22,73,Wagner_WWV086B_152.png
24,12,4,482,242,22,91,Wagner_WWV086B_152.png
25,13,5,48,333,21,96,Wagner_WWV086B_152.png
26,14,5,146,333,21,88,Wagner_WWV086B_152.png
27,15,5,235,333,21,96,Wagner_WWV086B_152.png
28,16,5,334,333,21,116,Wagner_WWV086B_152.png
29,17,5,451,333,21,121,Wagner_WWV086B_152.png
30,13,6,48,381,22,96,Wagner_WWV086B_152.png
31,14,6,146,381,22,88,Wagner_WWV086B_152.png
32,15,6,235,381,22,96,Wagner_WWV086B_152.png
33,16,6,334,381,22,116,Wagner_WWV086B_152.png
34,17,6,451,381,22,121,Wagner_WWV086B_152.png
35,18,7,49,468,23,161,Wagner_WWV086B_152.png
36,19,7,210,468,23,177,Wagner_WWV086B_152.png
37,20,7,389,468,23,181,Wagner_WWV086B_152.png
38,18,8,49,517,23,161,Wagner_WWV086B_152.png
39,19,8,210,517,23,177,Wagner_WWV086B_152.png
40,20,8,389,517,23,181,Wagner_WWV086B_152.png
41,21,9,47,584,22,182,Wagner_WWV086B_152.png
42,22,9,231,584,22,160,Wagner_WWV086B_152.png
43,23,9,392,584,22,177,Wagner_WWV086B_152.png
44,21,10,47,625,24,182,Wagner_WWV086B_152.png
45,22,10,231,625,24,160,Wagner_WWV086B_152.png
46,23,10,392,625,24,177,Wagner_WWV086B_152.png
47,24,11,47,694,23,165,Wagner_WWV086B_152.png
48,25,11,213,694,23,174,Wagner_WWV086B_152.png
49,26,11,388,694,23,182,Wagner_WWV086B_152.png
50,24,12,47,739,22,165,Wagner_WWV086B_152.png
51,25,12,213,739,22,174,Wagner_WWV086B_152.png
52,26,12,388,739,22,182,Wagner_WWV086B_152.png
1,1,1,43,72,23,190,Wagner_WWV086B_153.png
2,2,1,234,72,23,168,Wagner_WWV086B_153.png
3,3,1,403,72,23,159,Wagner_WWV086B_153.png
4,1,2,43,115,25,190,Wagner_WWV086B_153.png
5,2,2,234,115,25,168,Wagner_WWV086B_153.png
6,3,2,403,115,25,159,Wagner_WWV086B_153.png
7,4,3,42,205,22,176,Wagner_WWV086B_153.png
8,5,3,219,205,22,190,Wagner_WWV086B_153.png
9,6,3,410,205,22,152,Wagner_WWV086B_153.png
10,4,4,42,249,22,176,Wagner_WWV086B_153.png
11,5,4,219,249,22,190,Wagner_WWV086B_153.png
12,6,4,410,249,22,152,Wagner_WWV086B_153.png
13,7,5,41,322,23,183,Wagner_WWV086B_153.png
14,8,5,226,322,23,81,Wagner_WWV086B_153.png
15,9,5,308,322,23,151,Wagner_WWV086B_153.png
16,10,5,460,322,23,102,Wagner_WWV086B_153.png
17,7,6,41,366,22,183,Wagner_WWV086B_153.png
18,8,6,226,366,22,81,Wagner_WWV086B_153.png
19,9,6,308,366,22,151,Wagner_WWV086B_153.png
20,10,6,460,366,22,102,Wagner_WWV086B_153.png
21,11,7,41,446,22,198,Wagner_WWV086B_153.png
22,12,7,239,446,22,164,Wagner_WWV086B_153.png
23,13,7,405,446,22,156,Wagner_WWV086B_153.png
24,11,8,41,491,23,198,Wagner_WWV086B_153.png
25,12,8,239,491,23,164,Wagner_WWV086B_153.png
26,13,8,405,491,23,156,Wagner_WWV086B_153.png
27,14,9,41,567,21,162,Wagner_WWV086B_153.png
28,15,9,204,567,21,138,Wagner_WWV086B_153.png
29,16,9,343,567,21,94,Wagner_WWV086B_153.png
30,17,9,438,567,21,122,Wagner_WWV086B_153.png
31,14,10,41,611,21,162,Wagner_WWV086B_153.png
32,15,10,204,611,21,138,Wagner_WWV086B_153.png
33,16,10,343,611,21,94,Wagner_WWV086B_153.png
34,17,10,438,611,21,122,Wagner_WWV086B_153.png
35,18,11,38,685,22,152,Wagner_WWV086B_153.png
36,19,11,192,685,22,129,Wagner_WWV086B_153.png
37,20,11,322,685,22,115,Wagner_WWV086B_153.png
38,21,11,438,685,22,122,Wagner_WWV086B_153.png
39,18,12,38,736,24,152,Wagner_WWV086B_153.png
40,19,12,192,736,24,129,Wagner_WWV086B_153.png
41,20,12,322,736,24,115,Wagner_WWV086B_153.png
42,21,12,438,736,24,122,Wagner_WWV086B_153.png
1,1,1,44,69,23,125,Wagner_WWV086B_154.png
2,2,1,170,69,23,111,Wagner_WWV086B_154.png
3,3,1,282,69,23,135,Wagner_WWV086B_154.png
4,4,1,418,69,23,148,Wagner_WWV086B_154.png
5,1,2,44,116,23,125,Wagner_WWV086B_154.png
6,2,2,170,116,23,111,Wagner_WWV086B_154.png
7,3,2,282,116,23,135,Wagner_WWV086B_154.png
8,4,2,418,116,23,148,Wagner_WWV086B_154.png
9,5,3,45,187,25,188,Wagner_WWV086B_154.png
10,6,3,234,187,25,164,Wagner_WWV086B_154.png
11,7,3,399,187,25,167,Wagner_WWV086B_154.png
12,5,4,45,241,22,188,Wagner_WWV086B_154.png
13,6,4,234,241,22,164,Wagner_WWV086B_154.png
14,7,4,399,241,22,167,Wagner_WWV086B_154.png
15,8,5,45,309,23,195,Wagner_WWV086B_154.png
16,9,5,242,309,23,160,Wagner_WWV086B_154.png
17,10,5,403,309,23,163,Wagner_WWV086B_154.png
18,8,6,45,357,22,195,Wagner_WWV086B_154.png
19,9,6,242,357,22,160,Wagner_WWV086B_154.png
20,10,6,403,357,22,163,Wagner_WWV086B_154.png
21,11,7,47,426,23,179,Wagner_WWV086B_154.png
22,12,7,226,426,23,176,Wagner_WWV086B_154.png
23,13,7,404,426,23,163,Wagner_WWV086B_154.png
24,11,8,47,473,24,179,Wagner_WWV086B_154.png
25,12,8,226,473,24,176,Wagner_WWV086B_154.png
26,13,8,404,473,24,163,Wagner_WWV086B_154.png
27,14,9,48,546,24,202,Wagner_WWV086B_154.png
28,15,9,251,546,24,153,Wagner_WWV086B_154.png
29,16,9,405,546,24,163,Wagner_WWV086B_154.png
30,14,10,48,594,26,202,Wagner_WWV086B_154.png
31,15,10,251,594,26,153,Wagner_WWV086B_154.png
32,16,10,405,594,26,163,Wagner_WWV086B_154.png
33,17,11,49,676,24,179,Wagner_WWV086B_154.png
34,18,11,229,676,24,117,Wagner_WWV086B_154.png
35,19,11,347,676,24,114,Wagner_WWV086B_154.png
36,20,11,462,676,24,107,Wagner_WWV086B_154.png
37,17,12,49,723,25,179,Wagner_WWV086B_154.png
38,18,12,229,723,25,117,Wagner_WWV086B_154.png
39,19,12,347,723,25,114,Wagner_WWV086B_154.png
40,20,12,462,723,25,107,Wagner_WWV086B_154.png
1,1,1,35,70,22,167,Wagner_WWV086B_155.png
2,2,1,204,70,22,117,Wagner_WWV086B_155.png
3,3,1,322,70,22,121,Wagner_WWV086B_155.png
4,4,1,444,70,22,114,Wagner_WWV086B_155.png
5,1,2,35,117,22,167,Wagner_WWV086B_155.png
6,2,2,204,117,22,117,Wagner_WWV086B_155.png
7,3,2,322,117,22,121,Wagner_WWV086B_155.png
8,4,2,444,117,22,114,Wagner_WWV086B_155.png
9,5,3,36,200,23,138,Wagner_WWV086B_155.png
10,6,3,175,200,23,140,Wagner_WWV086B_155.png
11,7,3,316,200,23,122,Wagner_WWV086B_155.png
12,8,3,439,200,23,117,Wagner_WWV086B_155.png
13,5,4,36,249,21,138,Wagner_WWV086B_155.png
14,6,4,175,249,21,140,Wagner_WWV086B_155.png
15,7,4,316,249,21,122,Wagner_WWV086B_155.png
16,8,4,439,249,21,117,Wagner_WWV086B_155.png
17,9,5,35,324,24,180,Wagner_WWV086B_155.png
18,10,5,216,324,24,166,Wagner_WWV086B_155.png
19,11,5,383,324,24,172,Wagner_WWV086B_155.png
20,9,6,35,375,23,180,Wagner_WWV086B_155.png
21,10,6,216,375,23,166,Wagner_WWV086B_155.png
22,11,6,383,375,23,172,Wagner_WWV086B_155.png
23,12,7,34,440,23,181,Wagner_WWV086B_155.png
24,13,7,216,440,23,174,Wagner_WWV086B_155.png
25,14,7,391,440,23,164,Wagner_WWV086B_155.png
26,12,8,34,499,22,181,Wagner_WWV086B_155.png
27,13,8,216,499,22,174,Wagner_WWV086B_155.png
28,14,8,391,499,22,164,Wagner_WWV086B_155.png
29,15,9,34,568,21,202,Wagner_WWV086B_155.png
30,16,9,237,568,21,91,Wagner_WWV086B_155.png
31,17,9,329,568,21,105,Wagner_WWV086B_155.png
32,18,9,436,568,21,118,Wagner_WWV086B_155.png
33,15,10,34,612,22,202,Wagner_WWV086B_155.png
34,16,10,237,612,22,91,Wagner_WWV086B_155.png
35,17,10,329,612,22,105,Wagner_WWV086B_155.png
36,18,10,436,612,22,118,Wagner_WWV086B_155.png
37,19,11,33,677,24,152,Wagner_WWV086B_155.png
38,20,11,186,677,24,94,Wagner_WWV086B_155.png
39,21,11,281,677,24,110,Wagner_WWV086B_155.png
40,22,11,392,677,24,162,Wagner_WWV086B_155.png
41,19,12,33,725,21,152,Wagner_WWV086B_155.png
42,20,12,186,725,21,94,Wagner_WWV086B_155.png
43,21,12,281,725,21,110,Wagner_WWV086B_155.png
44,22,12,392,725,21,162,Wagner_WWV086B_155.png
1,1,1,49,66,22,190,Wagner_WWV086B_156.png
2,2,1,239,66,22,166,Wagner_WWV086B_156.png
3,3,1,407,66,22,164,Wagner_WWV086B_156.png
4,1,2,49,118,19,190,Wagner_WWV086B_156.png
5,2,2,239,118,19,166,Wagner_WWV086B_156.png
6,3,2,407,118,19,164,Wagner_WWV086B_156.png
7,4,3,49,183,23,107,Wagner_WWV086B_156.png
8,5,3,157,183,23,133,Wagner_WWV086B_156.png
9,6,3,291,183,23,139,Wagner_WWV086B_156.png
10,7,3,431,183,23,141,Wagner_WWV086B_156.png
11,4,4,49,233,22,107,Wagner_WWV086B_156.png
12,5,4,157,233,22,133,Wagner_WWV086B_156.png
13,6,4,291,233,22,139,Wagner_WWV086B_156.png
14,7,4,431,233,22,141,Wagner_WWV086B_156.png
15,8,5,50,305,22,183,Wagner_WWV086B_156.png
16,9,5,234,305,22,165,Wagner_WWV086B_156.png
17,10,5,400,305,22,172,Wagner_WWV086B_156.png
18,8,6,50,357,20,183,Wagner_WWV086B_156.png
19,9,6,234,357,20,165,Wagner_WWV086B_156.png
20,10,6,400,357,20,172,Wagner_WWV086B_156.png
21,11,7,49,426,23,187,Wagner_WWV086B_156.png
22,12,7,237,426,23,164,Wagner_WWV086B_156.png
23,13,7,402,426,23,170,Wagner_WWV086B_156.png
24,11,8,49,481,22,187,Wagner_WWV086B_156.png
25,12,8,237,481,22,164,Wagner_WWV086B_156.png
26,13,8,402,481,22,170,Wagner_WWV086B_156.png
27,14,9,49,550,21,135,Wagner_WWV086B_156.png
28,15,9,185,550,21,101,Wagner_WWV086B_156.png
29,16,9,287,550,21,141,Wagner_WWV086B_156.png
30,17,9,429,550,21,143,Wagner_WWV086B_156.png
31,14,10,49,595,22,135,Wagner_WWV086B_156.png
32,15,10,185,595,22,101,Wagner_WWV086B_156.png
33,16,10,287,595,22,141,Wagner_WWV086B_156.png
34,17,10,429,595,22,143,Wagner_WWV086B_156.png
35,18,11,48,676,23,187,Wagner_WWV086B_156.png
36,19,11,236,676,23,168,Wagner_WWV086B_156.png
37,20,11,406,676,23,166,Wagner_WWV086B_156.png
38,18,12,48,723,24,187,Wagner_WWV086B_156.png
39,19,12,236,723,24,168,Wagner_WWV086B_156.png
40,20,12,406,723,24,166,Wagner_WWV086B_156.png
1,1,1,36,72,24,183,Wagner_WWV086B_157.png
2,2,1,221,72,24,167,Wagner_WWV086B_157.png
3,3,1,389,72,24,166,Wagner_WWV086B_157.png
4,1,2,36,120,25,183,Wagner_WWV086B_157.png
5,2,2,221,120,25,167,Wagner_WWV086B_157.png
6,3,2,389,120,25,166,Wagner_WWV086B_157.png
7,4,3,35,192,25,187,Wagner_WWV086B_157.png
8,5,3,223,192,25,166,Wagner_WWV086B_157.png
9,6,3,390,192,25,165,Wagner_WWV086B_157.png
10,4,4,35,246,23,187,Wagner_WWV086B_157.png
11,5,4,223,246,23,166,Wagner_WWV086B_157.png
12,6,4,390,246,23,165,Wagner_WWV086B_157.png
13,7,5,35,317,22,203,Wagner_WWV086B_157.png
14,8,5,239,317,22,167,Wagner_WWV086B_157.png
15,9,5,407,317,22,148,Wagner_WWV086B_157.png
16,7,6,35,364,22,203,Wagner_WWV086B_157.png
17,8,6,239,364,22,167,Wagner_WWV086B_157.png
18,9,6,407,364,22,148,Wagner_WWV086B_157.png
19,10,7,34,432,21,198,Wagner_WWV086B_157.png
20,11,7,234,432,21,158,Wagner_WWV086B_157.png
21,12,7,393,432,21,161,Wagner_WWV086B_157.png
22,10,8,34,478,22,198,Wagner_WWV086B_157.png
23,11,8,234,478,22,158,Wagner_WWV086B_157.png
24,12,8,393,478,22,161,Wagner_WWV086B_157.png
25,13,9,34,553,21,88,Wagner_WWV086B_157.png
26,14,9,123,553,21,96,Wagner_WWV086B_157.png
27,15,9,220,553,21,101,Wagner_WWV086B_157.png
28,16,9,322,553,21,107,Wagner_WWV086B_157.png
29,17,9,430,553,21,124,Wagner_WWV086B_157.png
30,13,10,34,597,22,88,Wagner_WWV086B_157.png
31,14,10,123,597,22,96,Wagner_WWV086B_157.png
32,15,10,220,597,22,101,Wagner_WWV086B_157.png
33,16,10,322,597,22,107,Wagner_WWV086B_157.png
34,17,10,430,597,22,124,Wagner_WWV086B_157.png
35,18,11,32,680,20,131,Wagner_WWV086B_157.png
36,19,11,164,680,20,152,Wagner_WWV086B_157.png
37,20,11,317,680,20,112,Wagner_WWV086B_157.png
38,21,11,430,680,20,123,Wagner_WWV086B_157.png
39,18,12,32,727,21,131,Wagner_WWV086B_157.png
40,19,12,164,727,21,152,Wagner_WWV086B_157.png
41,20,12,317,727,21,112,Wagner_WWV086B_157.png
42,21,12,430,727,21,123,Wagner_WWV086B_157.png
1,1,1,49,73,23,130,Wagner_WWV086B_158.png
2,2,1,180,73,23,127,Wagner_WWV086B_158.png
3,3,1,308,73,23,116,Wagner_WWV086B_158.png
4,4,1,425,73,23,146,Wagner_WWV086B_158.png
5,1,2,49,125,21,130,Wagner_WWV086B_158.png
6,2,2,180,125,21,127,Wagner_WWV086B_158.png
7,3,2,308,125,21,116,Wagner_WWV086B_158.png
8,4,2,425,125,21,146,Wagner_WWV086B_158.png
9,5,3,49,192,22,147,Wagner_WWV086B_158.png
10,6,3,197,192,22,121,Wagner_WWV086B_158.png
11,7,3,319,192,22,123,Wagner_WWV086B_158.png
12,8,3,443,192,22,128,Wagner_WWV086B_158.png
13,5,4,49,239,21,147,Wagner_WWV086B_158.png
14,6,4,197,239,21,121,Wagner_WWV086B_158.png
15,7,4,319,239,21,123,Wagner_WWV086B_158.png
16,8,4,443,239,21,128,Wagner_WWV086B_158.png
17,9,5,49,306,23,119,Wagner_WWV086B_158.png
18,10,5,168,306,23,117,Wagner_WWV086B_158.png
19,11,5,287,306,23,163,Wagner_WWV086B_158.png
20,12,5,451,306,23,119,Wagner_WWV086B_158.png
21,9,6,49,351,21,119,Wagner_WWV086B_158.png
22,10,6,168,351,21,117,Wagner_WWV086B_158.png
23,11,6,287,351,21,163,Wagner_WWV086B_158.png
24,12,6,451,351,21,119,Wagner_WWV086B_158.png
25,13,7,50,440,22,164,Wagner_WWV086B_158.png
26,14,7,215,440,22,105,Wagner_WWV086B_158.png
27,15,7,322,440,22,82,Wagner_WWV086B_158.png
28,16,7,405,440,22,79,Wagner_WWV086B_158.png
29,17,7,485,440,22,86,Wagner_WWV086B_158.png
30,13,8,50,488,21,164,Wagner_WWV086B_158.png
31,14,8,215,488,21,105,Wagner_WWV086B_158.png
32,15,8,322,488,21,82,Wagner_WWV086B_158.png
33,16,8,405,488,21,79,Wagner_WWV086B_158.png
34,17,8,485,488,21,86,Wagner_WWV086B_158.png
35,18,9,50,564,22,107,Wagner_WWV086B_158.png
36,19,9,158,564,22,62,Wagner_WWV086B_158.png
37,20,9,221,564,22,67,Wagner_WWV086B_158.png
38,21,9,289,564,22,80,Wagner_WWV086B_158.png
39,22,9,370,564,22,64,Wagner_WWV086B_158.png
40,23,9,435,564,22,136,Wagner_WWV086B_158.png
41,18,10,50,612,20,107,Wagner_WWV086B_158.png
42,19,10,158,612,20,62,Wagner_WWV086B_158.png
43,20,10,221,612,20,67,Wagner_WWV086B_158.png
44,21,10,289,612,20,80,Wagner_WWV086B_158.png
45,22,10,370,612,20,64,Wagner_WWV086B_158.png
46,23,10,435,612,20,136,Wagner_WWV086B_158.png
47,24,11,50,685,22,109,Wagner_WWV086B_158.png
48,25,11,160,685,22,137,Wagner_WWV086B_158.png
49,26,11,298,685,22,88,Wagner_WWV086B_158.png
50,27,11,387,685,22,95,Wagner_WWV086B_158.png
51,28,11,483,685,22,89,Wagner_WWV086B_158.png
52,24,12,50,731,21,109,Wagner_WWV086B_158.png
53,25,12,160,731,21,137,Wagner_WWV086B_158.png
54,26,12,298,731,21,88,Wagner_WWV086B_158.png
55,27,12,387,731,21,95,Wagner_WWV086B_158.png
56,28,12,483,731,21,89,Wagner_WWV086B_158.png
1,1,1,42,79,21,150,Wagner_WWV086B_159.png
2,2,1,193,79,21,42,Wagner_WWV086B_159.png
3,3,1,236,79,21,163,Wagner_WWV086B_159.png
4,4,1,400,79,21,161,Wagner_WWV086B_159.png
5,1,2,42,128,23,150,Wagner_WWV086B_159.png
6,2,2,193,128,23,42,Wagner_WWV086B_159.png
7,3,2,236,128,23,163,Wagner_WWV086B_159.png
8,4,2,400,128,23,161,Wagner_WWV086B_159.png
9,5,3,41,197,24,170,Wagner_WWV086B_159.png
10,6,3,211,197,24,123,Wagner_WWV086B_159.png
11,7,3,336,197,24,110,Wagner_WWV086B_159.png
12,8,3,447,197,24,114,Wagner_WWV086B_159.png
13,5,4,41,245,23,170,Wagner_WWV086B_159.png
14,6,4,211,245,23,123,Wagner_WWV086B_159.png
15,7,4,336,245,23,110,Wagner_WWV086B_159.png
16,8,4,447,245,23,114,Wagner_WWV086B_159.png
17,9,5,40,315,23,124,Wagner_WWV086B_159.png
18,10,5,165,315,23,105,Wagner_WWV086B_159.png
19,11,5,271,315,23,85,Wagner_WWV086B_159.png
20,12,5,357,315,23,81,Wagner_WWV086B_159.png
21,13,5,439,315,23,122,Wagner_WWV086B_159.png
22,9,6,40,364,22,124,Wagner_WWV086B_159.png
23,10,6,165,364,22,105,Wagner_WWV086B_159.png
24,11,6,271,364,22,85,Wagner_WWV086B_159.png
25,12,6,357,364,22,81,Wagner_WWV086B_159.png
26,13,6,439,364,22,122,Wagner_WWV086B_159.png
27,14,7,38,439,22,109,Wagner_WWV086B_159.png
28,15,7,149,439,22,113,Wagner_WWV086B_159.png
29,16,7,263,439,22,140,Wagner_WWV086B_159.png
30,17,7,404,439,22,155,Wagner_WWV086B_159.png
31,14,8,38,488,22,109,Wagner_WWV086B_159.png
32,15,8,149,488,22,113,Wagner_WWV086B_159.png
33,16,8,263,488,22,140,Wagner_WWV086B_159.png
34,17,8,404,488,22,155,Wagner_WWV086B_159.png
35,18,9,38,552,23,144,Wagner_WWV086B_159.png
36,19,9,183,552,23,135,Wagner_WWV086B_159.png
37,20,9,320,552,23,128,Wagner_WWV086B_159.png
38,21,9,449,552,23,91,Wagner_WWV086B_159.png
39,18,10,38,600,22,144,Wagner_WWV086B_159.png
40,19,10,183,600,22,135,Wagner_WWV086B_159.png
41,20,10,320,600,22,128,Wagner_WWV086B_159.png
42,21,10,449,600,22,91,Wagner_WWV086B_159.png
43,22,11,37,686,22,197,Wagner_WWV086B_159.png
44,23,11,235,686,22,161,Wagner_WWV086B_159.png
45,24,11,397,686,22,161,Wagner_WWV086B_159.png
46,22,12,37,731,22,197,Wagner_WWV086B_159.png
47,23,12,235,731,22,161,Wagner_WWV086B_159.png
48,24,12,397,731,22,161,Wagner_WWV086B_159.png
1,1,1,49,67,22,192,Wagner_WWV086B_160.png
2,2,1,242,67,22,157,Wagner_WWV086B_160.png
3,3,1,400,67,22,171,Wagner_WWV086B_160.png
4,1,2,49,113,22,192,Wagner_WWV086B_160.png
5,2,2,242,113,22,157,Wagner_WWV086B_160.png
6,3,2,400,113,22,171,Wagner_WWV086B_160.png
7,4,3,49,198,21,178,Wagner_WWV086B_160.png
8,5,3,229,198,21,159,Wagner_WWV086B_160.png
9,6,3,389,198,21,182,Wagner_WWV086B_160.png
10,4,4,49,242,22,178,Wagner_WWV086B_160.png
11,5,4,229,242,22,159,Wagner_WWV086B_160.png
12,6,4,389,242,22,182,Wagner_WWV086B_160.png
13,7,5,50,315,22,178,Wagner_WWV086B_160.png
14,8,5,229,315,22,163,Wagner_WWV086B_160.png
15,9,5,393,315,22,177,Wagner_WWV086B_160.png
16,7,6,50,358,22,178,Wagner_WWV086B_160.png
17,8,6,229,358,22,163,Wagner_WWV086B_160.png
18,9,6,393,358,22,177,Wagner_WWV086B_160.png
19,10,7,50,430,24,188,Wagner_WWV086B_160.png
20,11,7,239,430,24,167,Wagner_WWV086B_160.png
21,12,7,407,430,24,162,Wagner_WWV086B_160.png
22,10,8,50,475,24,188,Wagner_WWV086B_160.png
23,11,8,239,475,24,167,Wagner_WWV086B_160.png
24,12,8,407,475,24,162,Wagner_WWV086B_160.png
25,13,9,50,550,22,158,Wagner_WWV086B_160.png
26,14,9,209,550,22,118,Wagner_WWV086B_160.png
27,15,9,328,550,22,108,Wagner_WWV086B_160.png
28,16,9,436,550,22,132,Wagner_WWV086B_160.png
29,13,10,50,596,22,158,Wagner_WWV086B_160.png
30,14,10,209,596,22,118,Wagner_WWV086B_160.png
31,15,10,328,596,22,108,Wagner_WWV086B_160.png
32,16,10,436,596,22,132,Wagner_WWV086B_160.png
33,17,11,50,670,24,197,Wagner_WWV086B_160.png
34,18,11,248,670,24,149,Wagner_WWV086B_160.png
35,19,11,397,670,24,171,Wagner_WWV086B_160.png
36,17,12,50,719,23,197,Wagner_WWV086B_160.png
37,18,12,248,719,23,149,Wagner_WWV086B_160.png
38,19,12,397,719,23,171,Wagner_WWV086B_160.png
1,1,1,38,72,20,197,Wagner_WWV086B_161.png
2,2,1,237,72,20,179,Wagner_WWV086B_161.png
3,3,1,417,72,20,143,Wagner_WWV086B_161.png
4,1,2,38,118,23,197,Wagner_WWV086B_161.png
5,2,2,237,118,23,179,Wagner_WWV086B_161.png
6,3,2,417,118,23,143,Wagner_WWV086B_161.png
7,4,3,38,191,23,179,Wagner_WWV086B_161.png
8,5,3,219,191,23,95,Wagner_WWV086B_161.png
9,6,3,315,191,23,122,Wagner_WWV086B_161.png
10,7,3,438,191,23,121,Wagner_WWV086B_161.png
11,4,4,38,239,23,179,Wagner_WWV086B_161.png
12,5,4,219,239,23,95,Wagner_WWV086B_161.png
13,6,4,315,239,23,122,Wagner_WWV086B_161.png
14,7,4,438,239,23,121,Wagner_WWV086B_161.png
15,8,5,39,301,22,184,Wagner_WWV086B_161.png
16,9,5,224,301,22,165,Wagner_WWV086B_161.png
17,10,5,389,301,22,171,Wagner_WWV086B_161.png
18,8,6,39,352,24,184,Wagner_WWV086B_161.png
19,9,6,224,352,24,165,Wagner_WWV086B_161.png
20,10,6,389,352,24,171,Wagner_WWV086B_161.png
21,11,7,39,419,23,185,Wagner_WWV086B_161.png
22,12,7,225,419,23,163,Wagner_WWV086B_161.png
23,13,7,389,419,23,169,Wagner_WWV086B_161.png
24,11,8,39,475,21,185,Wagner_WWV086B_161.png
25,12,8,225,475,21,163,Wagner_WWV086B_161.png
26,13,8,389,475,21,169,Wagner_WWV086B_161.png
27,14,9,38,547,24,168,Wagner_WWV086B_161.png
28,15,9,209,547,24,173,Wagner_WWV086B_161.png
29,16,9,383,547,24,174,Wagner_WWV086B_161.png
30,14,10,38,600,21,168,Wagner_WWV086B_161.png
31,15,10,209,600,21,173,Wagner_WWV086B_161.png
32,16,10,383,600,21,174,Wagner_WWV086B_161.png
33,17,11,38,665,26,186,Wagner_WWV086B_161.png
34,18,11,226,665,26,164,Wagner_WWV086B_161.png
35,19,11,391,665,26,167,Wagner_WWV086B_161.png
36,17,12,38,722,20,186,Wagner_WWV086B_161.png
37,18,12,226,722,20,164,Wagner_WWV086B_161.png
38,19,12,391,722,20,167,Wagner_WWV086B_161.png
1,1,1,41,64,22,149,Wagner_WWV086B_162.png
2,2,1,191,64,22,79,Wagner_WWV086B_162.png
3,3,1,271,64,22,117,Wagner_WWV086B_162.png
4,4,1,389,64,22,81,Wagner_WWV086B_162.png
5,5,1,471,64,22,90,Wagner_WWV086B_162.png
6,1,2,41,114,21,149,Wagner_WWV086B_162.png
7,2,2,191,114,21,79,Wagner_WWV086B_162.png
8,3,2,271,114,21,117,Wagner_WWV086B_162.png
9,4,2,389,114,21,81,Wagner_WWV086B_162.png
10,5,2,471,114,21,90,Wagner_WWV086B_162.png
11,6,3,41,195,24,180,Wagner_WWV086B_162.png
12,7,3,222,195,24,167,Wagner_WWV086B_162.png
13,8,3,390,195,24,171,Wagner_WWV086B_162.png
14,6,4,41,244,22,180,Wagner_WWV086B_162.png
15,7,4,222,244,22,167,Wagner_WWV086B_162.png
16,8,4,390,244,22,171,Wagner_WWV086B_162.png
17,9,5,41,319,25,181,Wagner_WWV086B_162.png
18,10,5,223,319,25,158,Wagner_WWV086B_162.png
19,11,5,382,319,25,179,Wagner_WWV086B_162.png
20,9,6,41,370,22,181,Wagner_WWV086B_162.png
21,10,6,223,370,22,158,Wagner_WWV086B_162.png
22,11,6,382,370,22,179,Wagner_WWV086B_162.png
23,12,7,41,453,25,184,Wagner_WWV086B_162.png
24,13,7,226,453,25,164,Wagner_WWV086B_162.png
25,14,7,391,453,25,168,Wagner_WWV086B_162.png
26,12,8,41,499,23,184,Wagner_WWV086B_162.png
27,13,8,226,499,23,164,Wagner_WWV086B_162.png
28,14,8,391,499,23,168,Wagner_WWV086B_162.png
29,15,9,41,568,21,184,Wagner_WWV086B_162.png
30,16,9,226,568,21,168,Wagner_WWV086B_162.png
31,17,9,395,568,21,164,Wagner_WWV086B_162.png
32,15,10,41,613,22,184,Wagner_WWV086B_162.png
33,16,10,226,613,22,168,Wagner_WWV086B_162.png
34,17,10,395,613,22,164,Wagner_WWV086B_162.png
35,18,11,39,684,21,188,Wagner_WWV086B_162.png
36,19,11,228,684,21,90,Wagner_WWV086B_162.png
37,20,11,319,684,21,81,Wagner_WWV086B_162.png
38,21,11,401,684,21,75,Wagner_WWV086B_162.png
39,22,11,478,684,21,81,Wagner_WWV086B_162.png
40,18,12,39,728,21,188,Wagner_WWV086B_162.png
41,19,12,228,728,21,90,Wagner_WWV086B_162.png
42,20,12,319,728,21,81,Wagner_WWV086B_162.png
43,21,12,401,728,21,75,Wagner_WWV086B_162.png
44,22,12,478,728,21,81,Wagner_WWV086B_162.png
1,1,1,43,70,22,95,Wagner_WWV086B_163.png
2,2,1,139,70,22,82,Wagner_WWV086B_163.png
3,3,1,222,70,22,70,Wagner_WWV086B_163.png
